BranchID,RegionID,BranchName,Address,BranchPhoneNumber,OpeningTime,ClosingTime,HasCarParking,HasBikeParking,DeliveryService,ManagerID
BR00001,1,Mitchell-Nielsen,"7716 Tanner Circle Apt. 907
Smithtown AR 72267",+1-502-523-1981x9036,15:32:10,13:32:49,1,0,1,MG00801
BR00002,2,Gonzales Roberts and Moyer,"66465 Denise Walk Suite 630
Sarahshire IA 65572",888-325-4059x453,21:02:15,18:49:06,0,1,0,MG00538
BR00003,3,Adams PLC,"372 Jo Island
Port Erin WA 79924",(556)663-3180,23:28:40,05:37:08,1,1,0,MG00048
BR00004,4,Parsons-Richardson,"277 Linda Station Apt. 492
Melanieburgh UT 60938",390-824-6448x82654,03:28:24,06:37:02,0,0,1,MG00613
BR00005,5,Nielsen Cooper and Johnson,"0718 Roberson Terrace Apt. 652
Elizabethberg VT 87225",001-728-562-7084x4062,03:05:07,23:02:50,0,1,0,MG00512
BR00006,6,Branch-Aguilar,"6775 Lawson Greens Apt. 917
New Shelby PA 21052",+1-246-239-2445x31244,01:19:53,04:30:41,0,1,0,MG00178
BR00007,7,Bailey Coleman and Kirk,"PSC 3696 Box 9186
APO AA 31992",287.702.3411x824,13:42:14,01:34:01,0,1,1,MG00019
BR00008,8,Roman Group,"7227 Bennett Crest Apt. 845
Paigeport MI 86789",953.644.0794x586,08:48:21,20:48:53,0,0,1,MG00649
BR00009,9,Snyder and Sons,"Unit 9869 Box 9348
DPO AA 86846",464-347-4067x734,18:13:34,09:59:47,1,1,0,MG00740
BR00010,10,Perry Schultz and Soto,"Unit 6661 Box 7064
DPO AP 56330",001-440-985-7600x36721,09:07:31,18:36:18,1,1,0,MG00631
BR00011,11,Johnson-Dominguez,"1693 Petersen Camp Apt. 259
Patelview UT 31788",884.971.0299,07:22:52,14:49:51,1,1,0,MG00932
BR00012,12,Williams Johnson and Swanson,"001 Jade Junctions
West Cynthia MT 27090",(387)904-3942,22:58:11,17:00:28,0,0,0,MG00874
BR00013,13,Gomez Preston and Mendez,"98923 Lopez Meadows
East Anthony KY 38356",(687)714-4083,07:00:15,08:42:11,0,0,1,MG00177
BR00014,14,Hooper-Soto,"747 Shannon Ville Suite 792
Stephaniefort IA 32503",2342010573,00:53:21,10:06:16,0,0,0,MG00435
BR00015,15,Silva Johnson and Morris,"247 Russell Port
Garciatown TX 35219",588-299-8355x655,16:26:32,00:36:37,0,0,0,MG00953
BR00016,16,Morales-Terry,"7702 Thomas Mills
Anaborough MS 23265",495.798.4877,06:06:39,05:43:10,0,0,0,MG00770
BR00017,17,Richmond Group,"10240 Mark Meadow
East Kayleemouth UT 37034",373.655.4998,17:48:14,17:23:40,0,1,1,MG00494
BR00018,18,Carey and Sons,"9654 Jerry Tunnel
Robertshaven CO 33544",(283)394-6447,07:25:56,02:20:09,1,0,1,MG00026
BR00019,19,Robinson Ltd,"541 Hunt Park Apt. 145
Mckenziemouth DE 12767",(757)316-4167x3817,11:27:30,15:08:44,0,0,0,MG00046
BR00020,20,Farley Stewart and Walker,"850 Horn Streets
Mariaburgh VI 18317",4787121763,10:13:00,01:19:17,0,0,1,MG00387
BR00021,21,Rice-Shannon,"987 Johnson Row Suite 220
New Joshuaside NC 82688",+1-721-525-2019,00:20:23,12:47:35,0,0,1,MG00482
BR00022,22,Reynolds-Garcia,"452 Laura Forge Suite 958
New Theodore MO 24253",939-904-4264x732,10:34:11,08:04:54,1,0,0,MG00777
BR00023,23,Hicks Inc,"92154 Sandra Ramp Apt. 950
South Brandistad WY 12765",(231)738-4370,09:44:41,10:34:01,1,1,0,MG00610
BR00024,24,Singh-Scott,"69064 Eugene Drive Suite 056
Gonzalezview VI 48356",877-229-0007,00:09:07,19:14:43,1,0,0,MG00237
BR00025,25,Walker Inc,"476 Tyler Lodge
New Masonborough MD 14978",687.758.7937x6810,02:47:53,04:35:30,0,1,0,MG00596
BR00026,26,Guerra PLC,"5428 Brandy Fields
Brettchester PR 93475",+1-422-793-4895x791,11:39:21,19:20:51,0,0,1,MG00283
BR00027,27,Mitchell Inc,"1968 Adkins Freeway Apt. 916
Gardnerburgh PR 01050",+1-579-203-7596x1261,00:49:36,16:00:01,0,1,1,MG00804
BR00028,28,Smith-Mills,"16405 Amy Tunnel
Moraleshaven ID 67477",(601)294-4575x5225,11:59:44,05:52:50,0,0,0,MG00355
BR00029,29,Cunningham and Sons,"456 Jill Fort Apt. 999
West Lisatown DE 15522",001-900-342-2570x08126,11:11:58,00:42:37,0,1,0,MG00587
BR00030,30,Gonzalez and Sons,"174 Donald Springs Apt. 638
New Denisemouth IL 22422",534.938.1609,11:19:35,10:33:10,1,1,0,MG00523
BR00031,31,Allen Morris and Collins,"84935 Linda Wells Suite 132
Peggyland PA 13597",+1-627-528-9819x634,15:39:35,13:52:16,1,1,0,MG00724
BR00032,32,Jackson Cooper and Preston,"0386 Logan Wells Suite 419
Knoxland FM 50665",(833)781-2753,22:53:33,21:06:47,1,0,1,MG00219
BR00033,33,Martinez Jordan and Jones,"849 Billy Station
South Selenaside LA 05418",908.827.4948,13:11:48,01:39:38,1,1,0,MG00410
BR00034,34,Huang-Burgess,"6122 Gina Loaf Suite 746
Caldwellchester DE 16724",4568542739,00:32:21,18:46:26,0,0,1,MG00216
BR00035,35,Rivera-Strickland,"1037 Randy Pass
Coxland NJ 19596",313.794.0005x54468,05:26:46,19:35:36,1,1,1,MG00809
