HistoryID,CardID,StatusChangeDate,PreviousCardType,NewCardType,SpendingDuringPeriod
1,CARD04287,2023-08-19,Gold,Silver,5855.32
2,CARD07611,2023-12-19,Membership,Gold,2942.48
3,CARD06993,2023-03-21,Silver,Membership,72.27
4,CARD02362,2024-06-09,Silver,Gold,5039.09
5,CARD00485,2024-05-08,Silver,Membership,4236.14
6,CARD09868,2024-10-08,Silver,Gold,9108.18
7,CARD07310,2024-11-20,Gold,Membership,6148.63
8,CARD08676,2024-01-12,Silver,Membership,5468.5
9,CARD08990,2023-02-24,Membership,Gold,9693.08
10,CARD09977,2024-03-22,Membership,Gold,2758.41
11,CARD08009,2024-03-12,Membership,Silver,5973.63
12,CARD03737,2024-09-24,Silver,Gold,4725.96
13,CARD01246,2023-01-16,Membership,Gold,1320.99
14,CARD09525,2024-04-14,Gold,Silver,5338.42
15,CARD06086,2023-09-15,Silver,Gold,6383.77
16,CARD09270,2024-01-25,Silver,Gold,6695.03
17,CARD03209,2024-03-11,Gold,Membership,7123.1
18,CARD06229,2023-02-20,Membership,Gold,9936.17
19,CARD04539,2024-05-31,Silver,Gold,7139.6
20,CARD06308,2024-11-20,Membership,Silver,4663.5
21,CARD07998,2024-02-06,Gold,Membership,1565.05
22,CARD02016,2023-05-09,Membership,Gold,6006.0
23,CARD09351,2024-10-01,Silver,Membership,8648.9
24,CARD05692,2023-07-04,Gold,Silver,8763.06
25,CARD02467,2022-12-29,Gold,Silver,9484.52
26,CARD07632,2023-12-28,Gold,Silver,7563.06
27,CARD06398,2024-01-24,Gold,Membership,2373.02
28,CARD06354,2024-04-01,Silver,Gold,3187.11
29,CARD05218,2024-01-06,Silver,Gold,4998.68
30,CARD09888,2024-05-21,Membership,Gold,5807.5
31,CARD00864,2023-11-23,Membership,Gold,3787.69
32,CARD01353,2023-09-26,Gold,Silver,3007.92
33,CARD01114,2023-10-29,Membership,Gold,8766.34
34,CARD00029,2024-12-17,Silver,Gold,3156.53
35,CARD02943,2023-04-18,Silver,Membership,5744.32
36,CARD06964,2023-06-25,Membership,Silver,2497.85
37,CARD01820,2024-09-13,Membership,Gold,3999.14
38,CARD05845,2023-09-16,Membership,Silver,8297.44
39,CARD08323,2024-03-11,Membership,Gold,6624.08
40,CARD00015,2023-01-06,Membership,Silver,3663.46
41,CARD05783,2023-07-07,Gold,Silver,8388.82
42,CARD09296,2024-12-10,Silver,Gold,5000.67
43,CARD00913,2023-01-25,Silver,Membership,8094.07
44,CARD00452,2024-03-23,Membership,Silver,6304.29
45,CARD02409,2023-08-29,Membership,Gold,8280.41
46,CARD05370,2023-05-06,Membership,Silver,3537.35
47,CARD02798,2023-10-05,Membership,Gold,6451.94
48,CARD02364,2023-05-15,Silver,Gold,6104.5
49,CARD00453,2023-11-22,Silver,Membership,3140.15
50,CARD04308,2023-10-25,Gold,Membership,6731.47
51,CARD04524,2024-01-26,Silver,Gold,986.73
52,CARD05932,2024-04-15,Membership,Gold,6429.96
53,CARD07394,2024-03-04,Gold,Silver,5135.12
54,CARD08823,2024-12-13,Membership,Gold,6737.85
55,CARD01508,2023-05-15,Silver,Gold,7532.19
56,CARD03968,2023-08-05,Silver,Membership,7237.33
57,CARD07321,2023-07-22,Gold,Silver,1775.78
58,CARD02206,2024-05-05,Membership,Silver,7876.76
59,CARD00165,2023-07-19,Silver,Membership,946.96
60,CARD00251,2024-07-29,Silver,Gold,3312.1
61,CARD07585,2024-06-08,Gold,Membership,8831.29
62,CARD03370,2024-01-17,Silver,Gold,3590.06
63,CARD00822,2024-05-29,Silver,Membership,1359.24
64,CARD06040,2023-01-28,Silver,Gold,6375.72
65,CARD00158,2023-10-07,Silver,Gold,4064.39
66,CARD08326,2023-07-07,Membership,Silver,1872.8
67,CARD05957,2023-06-03,Membership,Gold,2998.58
68,CARD08540,2024-11-29,Gold,Silver,8466.57
69,CARD03150,2024-03-19,Silver,Gold,8696.63
70,CARD06417,2024-08-30,Silver,Gold,8421.55
71,CARD04092,2024-05-10,Gold,Membership,4070.96
72,CARD00396,2023-01-23,Membership,Gold,3313.39
73,CARD03418,2024-08-12,Membership,Silver,6012.14
74,CARD02767,2023-07-06,Gold,Membership,8380.27
75,CARD07946,2023-12-08,Gold,Membership,6276.68
76,CARD01240,2023-08-11,Membership,Silver,7148.6
77,CARD02712,2024-04-03,Silver,Membership,8729.5
78,CARD05089,2024-05-20,Gold,Silver,76.41
79,CARD09947,2024-10-04,Gold,Silver,9785.58
80,CARD00048,2024-05-10,Gold,Silver,1989.68
81,CARD09356,2023-08-14,Silver,Membership,158.5
82,CARD04198,2024-01-16,Silver,Gold,4376.87
83,CARD04938,2023-12-31,Membership,Gold,4047.82
84,CARD09628,2024-06-04,Silver,Membership,1773.51
85,CARD00702,2023-11-02,Silver,Gold,9447.57
86,CARD04793,2023-08-26,Membership,Gold,2601.01
87,CARD06250,2024-03-16,Silver,Gold,3046.68
88,CARD08911,2024-01-28,Silver,Membership,2309.34
89,CARD01127,2024-05-13,Gold,Silver,9048.26
90,CARD01067,2024-02-05,Membership,Silver,4462.86
91,CARD05933,2023-07-06,Gold,Membership,2937.48
92,CARD07102,2024-02-24,Silver,Membership,3474.44
93,CARD07886,2023-03-15,Membership,Gold,7379.23
94,CARD05672,2023-01-30,Silver,Membership,4332.17
95,CARD04403,2024-02-04,Silver,Gold,1628.31
96,CARD05805,2024-08-22,Gold,Membership,841.82
97,CARD01484,2023-07-12,Membership,Silver,9567.59
98,CARD07942,2023-08-03,Gold,Silver,6983.23
99,CARD03809,2023-05-25,Gold,Silver,9997.59
100,CARD00358,2024-10-14,Silver,Membership,286.49
101,CARD04848,2024-07-05,Gold,Membership,5695.22
102,CARD03103,2023-02-17,Membership,Silver,3367.23
103,CARD03560,2024-01-23,Membership,Gold,8534.38
104,CARD05792,2024-08-05,Gold,Silver,935.3
105,CARD03448,2023-07-27,Gold,Silver,9152.72
106,CARD02697,2023-06-07,Silver,Membership,4865.05
107,CARD00304,2022-12-18,Silver,Gold,6076.86
108,CARD08869,2023-04-20,Gold,Silver,4285.98
109,CARD08091,2023-12-10,Silver,Gold,7336.53
110,CARD03925,2023-11-16,Silver,Gold,5558.11
111,CARD08331,2024-07-19,Gold,Membership,5707.43
112,CARD05069,2024-09-27,Silver,Membership,8466.34
113,CARD00728,2024-09-19,Silver,Membership,5426.1
114,CARD09156,2024-09-21,Gold,Membership,8041.4
115,CARD01799,2023-08-10,Gold,Membership,2227.0
116,CARD00776,2024-04-02,Gold,Membership,5593.05
117,CARD06023,2024-11-06,Gold,Membership,8695.15
118,CARD08264,2023-07-19,Gold,Silver,319.4
119,CARD05534,2024-03-29,Gold,Membership,267.84
120,CARD06368,2024-02-13,Gold,Membership,5359.28
121,CARD00071,2024-09-02,Membership,Silver,4713.09
122,CARD00347,2023-10-16,Membership,Silver,8659.84
123,CARD00271,2024-03-03,Gold,Silver,394.58
124,CARD02118,2024-01-11,Membership,Silver,9203.3
125,CARD06753,2024-05-23,Membership,Gold,6633.12
126,CARD05347,2023-07-10,Silver,Gold,8469.18
127,CARD07119,2023-04-01,Silver,Gold,5777.86
128,CARD07129,2023-06-24,Gold,Membership,9471.01
129,CARD03830,2023-08-11,Gold,Silver,3503.02
130,CARD04850,2023-07-15,Silver,Gold,5338.47
131,CARD00408,2024-08-21,Membership,Gold,1137.0
132,CARD07322,2023-11-01,Silver,Gold,9924.94
133,CARD09991,2023-06-26,Membership,Silver,1834.58
134,CARD02613,2023-06-27,Membership,Silver,3211.41
135,CARD01843,2024-03-23,Silver,Membership,6347.26
136,CARD02397,2024-04-22,Membership,Silver,3295.55
137,CARD03669,2023-08-21,Silver,Gold,7675.68
138,CARD09748,2024-09-22,Membership,Gold,8328.95
139,CARD08134,2023-03-25,Silver,Membership,2386.12
140,CARD00654,2023-10-21,Gold,Silver,8990.8
141,CARD02442,2024-01-08,Membership,Gold,91.41
142,CARD02882,2024-07-29,Gold,Silver,3319.66
143,CARD02791,2023-10-19,Silver,Gold,3351.04
144,CARD07508,2023-09-14,Gold,Membership,9310.42
145,CARD02978,2023-08-29,Membership,Gold,911.2
146,CARD02989,2024-05-07,Silver,Gold,9508.21
147,CARD07790,2024-05-09,Gold,Membership,540.92
148,CARD02178,2024-07-21,Gold,Silver,1870.84
149,CARD01617,2024-02-02,Gold,Membership,2712.56
150,CARD02127,2024-09-15,Membership,Gold,9974.35
151,CARD08126,2023-06-26,Gold,Membership,9871.95
152,CARD05665,2023-04-19,Membership,Silver,9945.49
153,CARD03912,2024-04-18,Silver,Membership,5581.66
154,CARD08731,2023-12-10,Gold,Silver,8665.14
155,CARD09698,2024-05-11,Membership,Silver,527.03
156,CARD05111,2024-12-06,Silver,Gold,5336.06
157,CARD06591,2024-04-28,Silver,Gold,5514.32
158,CARD06046,2023-06-19,Silver,Gold,5961.77
159,CARD09459,2024-05-31,Gold,Membership,1982.37
160,CARD08836,2023-04-30,Silver,Gold,3838.51
161,CARD05619,2024-05-31,Membership,Silver,3207.62
162,CARD03204,2024-12-10,Membership,Gold,383.97
163,CARD07814,2024-12-15,Gold,Membership,9041.2
164,CARD05916,2023-02-24,Gold,Silver,8613.95
165,CARD01080,2024-03-20,Gold,Membership,3195.15
166,CARD03662,2024-04-13,Membership,Silver,2633.41
167,CARD09933,2024-10-28,Silver,Membership,9277.06
168,CARD01026,2023-10-28,Silver,Membership,2383.15
169,CARD02914,2023-12-02,Membership,Gold,5718.08
170,CARD03054,2024-12-06,Silver,Gold,4091.87
171,CARD00390,2024-10-31,Membership,Gold,9989.76
172,CARD08261,2023-08-16,Gold,Silver,8967.25
173,CARD03837,2024-07-28,Silver,Membership,6075.34
174,CARD00984,2024-10-31,Membership,Silver,2775.23
175,CARD05990,2024-01-26,Membership,Gold,6118.54
176,CARD04775,2023-05-04,Membership,Silver,5186.68
177,CARD05928,2023-08-04,Membership,Silver,3315.61
178,CARD01181,2023-11-17,Gold,Membership,233.77
179,CARD04533,2024-07-03,Silver,Membership,8592.48
180,CARD07161,2023-12-15,Gold,Silver,2028.49
181,CARD03793,2023-04-26,Gold,Membership,1768.61
182,CARD06062,2024-09-19,Membership,Silver,2749.74
183,CARD07364,2023-07-14,Silver,Gold,9382.49
184,CARD02868,2024-04-18,Silver,Gold,6176.09
185,CARD05685,2024-07-17,Gold,Silver,4556.57
186,CARD00106,2023-08-30,Silver,Gold,9318.42
187,CARD03279,2024-03-26,Membership,Gold,4822.52
188,CARD08633,2023-07-29,Silver,Gold,759.34
189,CARD07056,2024-11-04,Membership,Silver,1206.4
190,CARD04912,2023-06-30,Membership,Silver,610.58
191,CARD07126,2023-12-19,Silver,Membership,6738.78
192,CARD02427,2023-03-09,Silver,Gold,4722.14
193,CARD05150,2023-07-25,Silver,Gold,255.61
194,CARD05686,2024-02-05,Silver,Membership,3262.27
195,CARD08243,2024-06-15,Silver,Gold,5977.64
196,CARD09870,2023-02-05,Membership,Gold,6054.25
197,CARD09585,2023-07-30,Membership,Silver,8540.0
198,CARD00056,2024-01-17,Gold,Silver,5959.62
199,CARD08070,2023-01-21,Silver,Gold,6693.72
200,CARD06595,2023-05-14,Silver,Gold,4878.02
201,CARD07591,2023-06-03,Membership,Gold,8301.25
202,CARD05488,2023-12-17,Membership,Silver,5004.44
203,CARD08750,2024-09-11,Silver,Membership,5387.6
204,CARD04673,2023-01-30,Silver,Membership,7600.98
205,CARD06878,2023-01-07,Membership,Silver,9953.6
206,CARD06180,2024-10-06,Gold,Silver,1010.82
207,CARD09419,2024-10-27,Silver,Membership,4735.54
208,CARD08713,2024-06-12,Silver,Gold,8324.78
209,CARD01901,2023-04-13,Silver,Gold,5622.99
210,CARD04308,2024-01-05,Silver,Membership,253.35
211,CARD01494,2024-03-18,Membership,Gold,4084.81
212,CARD04379,2024-10-27,Silver,Gold,4290.25
213,CARD07652,2023-01-17,Silver,Membership,1898.75
214,CARD07946,2023-02-12,Membership,Silver,9991.82
215,CARD02036,2023-08-25,Silver,Membership,3302.14
216,CARD07467,2024-06-17,Gold,Silver,2223.03
217,CARD05612,2023-12-12,Membership,Gold,2203.51
218,CARD03712,2023-11-17,Silver,Membership,6729.27
219,CARD02192,2023-02-25,Silver,Membership,7914.95
220,CARD08541,2024-03-10,Gold,Membership,3417.51
221,CARD08970,2023-11-23,Gold,Membership,4271.72
222,CARD08329,2024-07-29,Membership,Silver,6427.52
223,CARD05760,2022-12-29,Silver,Membership,3051.53
224,CARD08124,2024-04-12,Gold,Membership,5332.29
225,CARD01046,2024-11-06,Silver,Membership,1966.24
226,CARD03990,2023-01-29,Silver,Membership,2726.34
227,CARD08302,2023-04-09,Silver,Gold,1294.2
228,CARD00957,2023-12-05,Membership,Gold,2407.86
229,CARD02355,2023-08-07,Membership,Silver,7771.24
230,CARD06308,2023-09-19,Membership,Silver,7164.55
231,CARD07901,2023-11-05,Gold,Membership,7040.14
232,CARD04854,2024-10-11,Membership,Silver,0.33
233,CARD06187,2023-08-21,Silver,Membership,5600.87
234,CARD09048,2024-12-14,Gold,Membership,4767.49
235,CARD00929,2023-04-24,Gold,Silver,7600.52
236,CARD03089,2024-07-21,Gold,Silver,7529.62
237,CARD00897,2024-07-02,Gold,Membership,7864.68
238,CARD01321,2023-04-19,Silver,Gold,8437.28
239,CARD03067,2024-01-23,Gold,Membership,6242.28
240,CARD08443,2023-10-26,Membership,Gold,1436.57
241,CARD07236,2024-03-01,Silver,Gold,1986.37
242,CARD00231,2023-02-18,Membership,Gold,623.14
243,CARD03267,2024-06-19,Gold,Silver,9989.19
244,CARD04997,2024-07-03,Membership,Silver,5103.29
245,CARD01779,2023-06-12,Gold,Membership,7862.99
246,CARD05770,2024-02-19,Gold,Silver,1037.23
247,CARD05604,2024-05-16,Gold,Silver,1213.93
248,CARD02386,2024-01-23,Membership,Gold,8114.44
249,CARD05692,2023-03-06,Silver,Gold,4435.65
250,CARD03743,2024-10-27,Silver,Gold,847.79
251,CARD09903,2024-05-22,Membership,Silver,5796.95
252,CARD08979,2024-07-16,Gold,Silver,2103.89
253,CARD08846,2023-02-17,Membership,Silver,9528.15
254,CARD04177,2023-03-25,Membership,Silver,6988.37
255,CARD06846,2024-03-27,Gold,Silver,6833.97
256,CARD07882,2023-09-20,Membership,Gold,1981.48
257,CARD08418,2023-02-10,Membership,Silver,3575.68
258,CARD05051,2024-04-05,Membership,Gold,6200.7
259,CARD06723,2024-04-23,Silver,Membership,2895.7
260,CARD04940,2024-11-03,Gold,Silver,5498.08
261,CARD02724,2024-12-06,Silver,Membership,1920.21
262,CARD07986,2024-07-01,Silver,Gold,539.62
263,CARD04837,2023-03-12,Membership,Silver,9369.14
264,CARD06017,2024-08-12,Membership,Gold,6831.98
265,CARD04823,2023-03-31,Membership,Silver,9215.0
266,CARD03757,2024-07-05,Silver,Membership,3696.48
267,CARD06600,2023-06-27,Silver,Membership,3857.65
268,CARD09833,2023-02-18,Gold,Silver,6431.44
269,CARD06654,2024-11-02,Gold,Silver,1822.15
270,CARD00059,2024-02-11,Silver,Membership,379.72
271,CARD04735,2024-10-12,Gold,Membership,2710.71
272,CARD07639,2023-06-14,Silver,Membership,6249.45
273,CARD02766,2024-03-02,Gold,Membership,9496.63
274,CARD01432,2024-01-16,Gold,Silver,1571.72
