InvoiceID,OrderID,CardID,TotalAmount,Discount,FinalAmount,CreatedAt
INV00001,ORD04000,CARD06576,330.61,47.94,282.67,2024-11-01
INV00002,ORD09846,CARD09574,146.74,41.55,105.19,2024-02-13
INV00003,ORD08686,CARD08452,153.43,14.14,139.29,2024-10-11
INV00004,ORD02396,CARD03064,467.39,36.02,431.37,2024-09-06
INV00005,ORD04993,CARD09045,485.45,21.15,464.3,2024-09-15
INV00006,ORD04655,CARD09082,87.58,2.15,85.43,2024-05-24
INV00007,ORD05735,CARD03089,57.38,45.45,11.93,2024-10-12
INV00008,ORD09268,CARD04404,317.75,28.54,289.21,2023-12-22
INV00009,ORD01115,CARD00013,347.82,23.31,324.51,2024-10-06
INV00010,ORD03702,CARD09959,457.4,12.1,445.3,2023-12-24
INV00011,ORD06786,CARD04303,464.4,42.24,422.16,2024-08-19
INV00012,ORD07446,CARD08128,491.85,32.86,458.99,2023-12-24
INV00013,ORD00656,CARD05135,160.55,46.74,113.81,2024-02-08
INV00014,ORD09413,CARD06664,56.2,44.93,11.27,2024-04-19
INV00015,ORD01037,CARD06408,317.31,27.15,290.16,2024-05-29
INV00016,ORD05925,CARD06781,205.4,15.04,190.36,2024-10-03
INV00017,ORD02001,CARD04005,302.05,39.78,262.27,2024-07-03
INV00018,ORD01628,CARD00707,249.15,2.98,246.17,2024-01-04
INV00019,ORD00646,CARD07256,446.32,2.03,444.29,2024-09-04
INV00020,ORD05750,CARD05111,446.35,7.99,438.36,2024-02-14
INV00021,ORD06497,CARD01049,157.15,10.38,146.77,2024-10-15
INV00022,ORD00620,CARD03504,269.35,24.23,245.12,2024-11-25
INV00023,ORD09120,CARD02933,391.81,9.48,382.33,2024-05-11
INV00024,ORD04099,CARD03497,271.36,19.15,252.21,2024-10-05
INV00025,ORD09573,CARD04153,88.53,14.05,74.48,2023-12-22
INV00026,ORD01615,CARD00071,91.79,1.57,90.22,2024-09-01
INV00027,ORD03836,CARD09469,440.39,39.87,400.52,2024-07-07
INV00028,ORD02515,CARD07243,478.05,6.55,471.5,2024-06-27
INV00029,ORD01040,CARD07952,72.67,41.73,30.94,2024-06-23
INV00030,ORD06088,CARD01195,457.22,8.17,449.05,2024-07-18
INV00031,ORD01847,CARD07160,459.52,29.4,430.12,2024-08-06
INV00032,ORD02011,CARD04597,498.0,45.56,452.44,2024-12-14
INV00033,ORD07944,CARD02201,425.53,1.03,424.5,2024-09-13
INV00034,ORD08164,CARD01289,433.66,27.24,406.42,2024-02-16
INV00035,ORD03348,CARD00701,257.11,5.92,251.19,2024-04-01
INV00036,ORD09876,CARD08492,474.29,12.03,462.26,2024-04-18
INV00037,ORD00121,CARD08768,103.45,11.64,91.81,2024-07-16
INV00038,ORD00671,CARD04341,432.65,11.16,421.49,2024-09-09
INV00039,ORD01111,CARD05502,309.01,6.08,302.93,2024-09-20
INV00040,ORD04407,CARD05719,137.87,37.03,100.84,2024-02-01
INV00041,ORD09775,CARD01565,240.3,39.06,201.24,2024-09-12
INV00042,ORD04689,CARD06547,335.82,41.15,294.67,2024-01-24
INV00043,ORD05734,CARD02668,61.32,21.62,39.7,2024-03-16
INV00044,ORD06239,CARD07756,92.55,23.36,69.19,2024-01-22
INV00045,ORD02258,CARD04386,452.51,35.24,417.27,2024-03-30
INV00046,ORD02586,CARD06915,67.93,33.0,34.93,2024-01-11
INV00047,ORD07247,CARD03260,302.1,32.2,269.9,2024-05-07
INV00048,ORD00622,CARD05901,159.46,12.05,147.41,2024-07-08
INV00049,ORD08705,CARD00926,71.4,17.32,54.08,2024-04-04
