CardID,CustomerID,StaffID,CardType,RegistrationDate,AccumulatedPoints
CARD00001,CUST07454,ST06667,Silver,2023-04-22,376.9
CARD00002,CUST00321,ST02577,Silver,2023-03-30,497.09
CARD00003,CUST08050,ST06815,Membership,2023-12-07,268.2
CARD00004,CUST02175,ST07287,Membership,2023-03-23,262.99
CARD00005,CUST02200,ST00219,Silver,2023-01-30,278.4
CARD00006,CUST03284,ST00083,Membership,2024-06-14,469.24
CARD00007,CUST07534,ST02176,Silver,2023-05-25,121.01
CARD00008,CUST04317,ST04753,Silver,2023-12-20,173.83
CARD00009,CUST01714,ST06283,Gold,2023-01-05,156.41
CARD00010,CUST03531,ST06901,Membership,2023-04-04,249.07
CARD00011,CUST06408,ST00687,Membership,2024-04-03,422.19
CARD00012,CUST07352,ST08408,Membership,2024-06-25,436.96
CARD00013,CUST01720,ST06939,Membership,2023-07-16,122.58
CARD00014,CUST09251,ST06867,Membership,2023-10-19,55.74
CARD00015,CUST01506,ST04127,Membership,2023-04-15,79.77
CARD00016,CUST05520,ST08430,Gold,2024-07-19,40.11
CARD00017,CUST00034,ST01497,Silver,2024-03-25,487.87
CARD00018,CUST02315,ST08243,Gold,2023-08-10,442.06
CARD00019,CUST00525,ST08257,Silver,2023-03-09,194.82
CARD00020,CUST01903,ST00100,Membership,2023-11-28,189.26
CARD00021,CUST04586,ST04770,Membership,2024-12-07,182.22
CARD00022,CUST07020,ST08983,Silver,2023-12-07,243.2
CARD00023,CUST08552,ST01879,Silver,2023-07-01,424.79
CARD00024,CUST08360,ST00274,Membership,2024-06-04,372.11
CARD00025,CUST06581,ST04112,Silver,2023-06-19,351.31
CARD00026,CUST08816,ST01236,Silver,2024-04-16,203.6
CARD00027,CUST01125,ST04675,Gold,2024-10-22,46.56
CARD00028,CUST01625,ST07406,Gold,2023-10-07,493.51
CARD00029,CUST08741,ST06919,Silver,2024-10-14,204.94
CARD00030,CUST06761,ST01794,Gold,2023-03-13,359.2
CARD00031,CUST04512,ST09389,Silver,2023-10-09,5.19
CARD00032,CUST08220,ST07742,Membership,2023-12-23,482.06
CARD00033,CUST09531,ST06767,Membership,2024-01-20,81.81
CARD00034,CUST02696,ST03776,Membership,2023-12-24,107.26
CARD00035,CUST07272,ST05810,Membership,2024-10-15,391.64
CARD00036,CUST00150,ST08270,Silver,2024-05-16,442.87
CARD00037,CUST05702,ST01788,Gold,2024-08-09,36.56
CARD00038,CUST00887,ST04800,Gold,2023-09-28,133.1
CARD00039,CUST00351,ST07364,Silver,2023-02-20,52.05
