ItemID,CategoryID,ItemName,CurrentPrice,DeliveryAvailable
ITEM00001,CAT00495,Since,62.9,0
ITEM00002,CAT00651,Only,37.1,1
ITEM00003,CAT00731,Administration,11.68,0
ITEM00004,CAT00818,Bar,84.31,1
ITEM00005,CAT00483,Nor,65.15,1
ITEM00006,CAT00923,Prepare,23.78,1
ITEM00007,CAT00790,Color,99.43,0
ITEM00008,CAT00614,Key,94.88,1
ITEM00009,CAT00472,Need,14.89,0
ITEM00010,CAT00875,Natural,33.13,1
ITEM00011,CAT00185,Billion,24.08,1
ITEM00012,CAT00869,Certain,97.0,1
ITEM00013,CAT00827,Member,33.59,0
ITEM00014,CAT00233,Camera,11.98,1
ITEM00015,CAT00391,Teacher,99.49,0
ITEM00016,CAT00536,Action,14.46,1
ITEM00017,CAT00155,Subject,95.47,1
ITEM00018,CAT00637,Relationship,23.69,1
ITEM00019,CAT00657,Air,90.03,0
ITEM00020,CAT00963,Someone,98.93,0
ITEM00021,CAT00758,Together,16.19,1
ITEM00022,CAT00342,Remember,5.77,1
ITEM00023,CAT00866,Bar,35.75,1
ITEM00024,CAT00492,Right,75.85,1
ITEM00025,CAT00886,Adult,62.91,1
ITEM00026,CAT00481,Heavy,5.94,0
ITEM00027,CAT00986,Question,71.68,0
ITEM00028,CAT00325,Simple,24.03,1
ITEM00029,CAT00723,Thing,58.34,0
ITEM00030,CAT00258,Student,78.27,0
ITEM00031,CAT00985,Leader,6.39,0
ITEM00032,CAT00421,Significant,96.22,0
ITEM00033,CAT00296,Never,45.09,1
ITEM00034,CAT00061,Couple,84.73,1
ITEM00035,CAT00910,Oil,58.55,0
ITEM00036,CAT00184,Image,98.14,1
ITEM00037,CAT00092,Think,66.23,1
ITEM00038,CAT00536,Full,64.54,0
ITEM00039,CAT00730,Finally,70.39,1
ITEM00040,CAT00457,Town,18.32,1
ITEM00041,CAT00592,I,33.65,0
ITEM00042,CAT00839,Least,78.55,0
ITEM00043,CAT00916,Perhaps,94.48,1
ITEM00044,CAT00552,Rate,13.48,1
ITEM00045,CAT00413,Positive,13.79,1
ITEM00046,CAT00050,Wind,85.67,1
ITEM00047,CAT00272,Account,72.15,1
ITEM00048,CAT00574,Require,84.72,0
ITEM00049,CAT00865,Strong,36.44,1
ITEM00050,CAT00497,Painting,51.54,1
ITEM00051,CAT00431,Risk,98.6,1
ITEM00052,CAT00006,Least,7.67,1
ITEM00053,CAT00163,Job,7.86,1
ITEM00054,CAT00332,Course,21.94,1
ITEM00055,CAT00368,Wind,37.79,0
ITEM00056,CAT00852,Sister,79.88,1
ITEM00057,CAT00104,Glass,58.91,1
ITEM00058,CAT00835,Sing,84.18,0
ITEM00059,CAT00363,Buy,98.85,1
ITEM00060,CAT00656,Everyone,29.48,0
ITEM00061,CAT00127,Environment,69.13,1
ITEM00062,CAT00153,Whose,97.03,0
ITEM00063,CAT00491,Eye,17.64,1
ITEM00064,CAT00727,Rich,77.8,0
ITEM00065,CAT00915,Couple,28.8,0
ITEM00066,CAT00268,Foreign,53.85,1
ITEM00067,CAT00235,Hand,8.96,0
ITEM00068,CAT00771,Forget,11.5,1
ITEM00069,CAT00959,Six,22.43,0
ITEM00070,CAT00386,Contain,47.49,1
ITEM00071,CAT00126,Player,66.5,0
ITEM00072,CAT00310,Far,64.14,1
ITEM00073,CAT00694,Perhaps,38.05,0
ITEM00074,CAT00133,Act,11.41,1
ITEM00075,CAT00331,Another,92.55,1
ITEM00076,CAT00045,Former,74.56,0
ITEM00077,CAT00807,Role,79.86,1
ITEM00078,CAT00801,Wonder,38.49,0
ITEM00079,CAT00713,Head,63.1,0
ITEM00080,CAT00861,Main,43.28,0
ITEM00081,CAT00913,Decision,12.86,0
ITEM00082,CAT00742,Article,87.35,1
ITEM00083,CAT00857,Usually,33.39,0
ITEM00084,CAT00697,Through,79.2,1
ITEM00085,CAT00962,Again,23.52,1
ITEM00086,CAT00595,Most,98.54,1
ITEM00087,CAT00165,Growth,8.02,1
ITEM00088,CAT00064,Front,22.9,1
ITEM00089,CAT00849,Reason,21.14,0
