BranchID,ItemID,IsAvailable
BR05567,ITEM01691,0
BR03028,ITEM09103,1
BR06867,ITEM01835,1
BR08605,ITEM09387,0
BR02947,ITEM08041,0
BR04428,ITEM01270,1
BR04170,ITEM09380,1
BR03919,ITEM03152,0
BR00411,ITEM02312,0
BR03044,ITEM03465,1
BR03181,ITEM03573,0
BR08007,ITEM03825,0
BR01344,ITEM06366,1
BR07799,ITEM08708,1
BR02994,ITEM07378,0
BR04252,ITEM07464,0
BR09359,ITEM06074,0
BR02488,ITEM01753,1
BR03772,ITEM07242,0
BR09786,ITEM05302,0
BR07306,ITEM02225,0
BR09600,ITEM07813,0
BR09395,ITEM06858,0
BR00338,ITEM05825,0
BR02586,ITEM07026,0
BR01781,ITEM00484,0
BR04959,ITEM08896,0
BR09310,ITEM03414,1
BR05444,ITEM02847,0
BR02990,ITEM09493,0
BR03346,ITEM06780,0
BR00530,ITEM08922,1
BR07582,ITEM06453,0
BR08363,ITEM05510,1
BR04463,ITEM01190,0
BR02127,ITEM03931,1
BR00199,ITEM08680,0
BR09414,ITEM04239,1
BR00759,ITEM03912,1
BR08260,ITEM00989,0
BR01648,ITEM01079,0
BR02072,ITEM03281,1
BR03508,ITEM06150,0
BR09271,ITEM09052,0
BR02407,ITEM07595,0
BR05590,ITEM04119,0
BR07611,ITEM08079,1
BR03722,ITEM05466,1
BR00165,ITEM08418,0
BR07042,ITEM08784,0
BR06411,ITEM05866,1
BR03706,ITEM04416,0
BR06935,ITEM09291,1
BR02541,ITEM04921,0
BR03312,ITEM08770,0
BR09563,ITEM06411,1
BR04362,ITEM06884,1
BR01215,ITEM07395,1
BR05485,ITEM05606,1
BR02922,ITEM05741,0
BR07168,ITEM07821,1
BR01182,ITEM02557,0
BR03389,ITEM02054,0
BR06673,ITEM04587,0
BR08280,ITEM07922,0
BR00774,ITEM05266,0
BR09516,ITEM06757,1
BR08593,ITEM00228,1
BR09043,ITEM06305,0
BR03557,ITEM02697,1
BR05686,ITEM00392,0
BR05628,ITEM08986,1
BR08012,ITEM06570,1
BR07465,ITEM09071,0
BR00252,ITEM08247,0
BR02520,ITEM04208,0
BR00228,ITEM08352,1
BR05153,ITEM02043,1
BR09825,ITEM00949,0
BR00261,ITEM00425,0
BR07820,ITEM03123,1
BR09227,ITEM02816,0
BR03439,ITEM09760,1
BR08575,ITEM09101,0
BR04393,ITEM09546,1
BR01810,ITEM09866,1
BR08316,ITEM02391,1
BR01255,ITEM06979,0
BR00079,ITEM01432,0
BR07613,ITEM02269,0
BR05529,ITEM06146,0
BR04736,ITEM06327,0
BR05230,ITEM09891,0
BR09752,ITEM07945,1
BR00747,ITEM07178,1
BR09797,ITEM02849,1
BR09356,ITEM08068,1
BR05215,ITEM07120,1
BR02616,ITEM02684,1
BR01592,ITEM04283,1
BR03744,ITEM03591,0
BR02387,ITEM08353,0
BR04959,ITEM07503,0
BR07208,ITEM09472,0
BR09431,ITEM03021,1
BR02848,ITEM08596,1
BR00228,ITEM00163,1
BR03116,ITEM09635,0
BR06554,ITEM07725,1
BR09233,ITEM07147,1
BR02347,ITEM01212,1
BR02676,ITEM03712,1
BR04589,ITEM02751,0
BR01199,ITEM09908,1
BR01944,ITEM03262,0
BR06723,ITEM08849,1
BR02439,ITEM07379,1
BR08277,ITEM07358,1
BR09106,ITEM05852,1
BR00174,ITEM01100,1
BR07438,ITEM09571,1
BR00846,ITEM09754,1
BR08675,ITEM04912,0
BR06824,ITEM07739,1
BR08879,ITEM00844,0
BR02865,ITEM03067,1
BR07402,ITEM01863,1
BR02399,ITEM06180,1
BR02198,ITEM02565,1
BR00694,ITEM04500,0
BR06490,ITEM06220,0
BR03553,ITEM07904,1
BR01968,ITEM09195,1
BR09145,ITEM04165,1
BR09737,ITEM03981,1
BR00876,ITEM09892,0
BR08568,ITEM01016,1
BR07925,ITEM06546,1
BR05578,ITEM00291,0
BR00532,ITEM01600,1
BR02407,ITEM08626,0
BR05582,ITEM01273,0
BR07170,ITEM09966,0
BR05696,ITEM06921,1
BR09159,ITEM05760,1
BR00723,ITEM01289,0
BR07661,ITEM02818,1
BR05909,ITEM01440,1
BR05291,ITEM04806,1
BR09465,ITEM06661,0
BR03876,ITEM09926,1
BR05271,ITEM01376,1
BR02977,ITEM06058,1
BR08500,ITEM06662,1
BR07386,ITEM02372,1
BR05945,ITEM05448,0
BR09730,ITEM07609,0
BR04896,ITEM02955,0
BR07963,ITEM03650,0
BR03059,ITEM02187,0
BR05706,ITEM01624,1
BR02710,ITEM08440,0
BR05099,ITEM07470,0
BR07124,ITEM06893,1
BR09269,ITEM01316,1
BR04176,ITEM03062,1
BR01907,ITEM01033,0
BR05545,ITEM06584,0
BR03856,ITEM02627,1
BR07587,ITEM03898,1
BR01694,ITEM06315,1
BR06224,ITEM01739,0
BR01853,ITEM08722,1
BR02906,ITEM06464,0
BR00850,ITEM07578,0
BR01669,ITEM06839,0
BR05978,ITEM00466,1
BR04983,ITEM06065,0
BR08494,ITEM07700,0
BR00342,ITEM01411,0
BR02572,ITEM06179,0
BR03930,ITEM04812,1
BR07294,ITEM05149,0
BR00702,ITEM05572,1
BR00497,ITEM02798,1
BR01842,ITEM07746,0
BR04057,ITEM08590,1
BR09388,ITEM00076,0
BR05062,ITEM01146,1
BR02520,ITEM09990,1
BR04666,ITEM04011,1
BR05515,ITEM05429,1
BR09706,ITEM06649,1
BR01860,ITEM07115,1
BR03648,ITEM03540,1
BR01458,ITEM06726,0
BR06645,ITEM02248,0
BR02920,ITEM08447,0
BR09721,ITEM09460,1
BR00229,ITEM06917,1
BR01789,ITEM08579,0
BR04891,ITEM00594,1
BR00375,ITEM04359,0
BR02791,ITEM06157,0
BR09909,ITEM06583,0
BR05532,ITEM09501,0
BR02592,ITEM07604,1
BR04753,ITEM05560,0
BR08946,ITEM09540,1
BR08818,ITEM01966,1
BR00422,ITEM04524,1
BR08114,ITEM07687,0
BR06925,ITEM06136,0
BR01270,ITEM09326,1
BR09554,ITEM02650,0
BR00379,ITEM03336,1
BR01760,ITEM04155,0
BR00952,ITEM05847,0
BR08590,ITEM01034,1
BR08500,ITEM09633,0
BR00631,ITEM08934,0
BR05211,ITEM08277,1
BR01235,ITEM04124,1
BR04237,ITEM00160,0
BR08379,ITEM08900,1
BR01097,ITEM03242,0
BR08535,ITEM05211,1
BR08482,ITEM05208,0
BR04832,ITEM00559,1
BR08433,ITEM04952,0
BR05035,ITEM09588,0
BR04084,ITEM06499,1
BR06875,ITEM03112,1
BR03158,ITEM01881,1
BR00310,ITEM04474,1
BR04483,ITEM00278,0
BR07309,ITEM01747,0
BR06645,ITEM03423,1
BR09584,ITEM01774,0
BR04546,ITEM06043,1
BR09575,ITEM01827,1
BR07645,ITEM05440,0
BR00784,ITEM04877,0
BR07901,ITEM05062,0
BR06741,ITEM07004,0
BR03435,ITEM09244,1
BR05350,ITEM03870,1
BR03379,ITEM04829,1
BR00049,ITEM03395,0
BR09436,ITEM00805,1
BR09104,ITEM00615,0
BR02873,ITEM07914,1
BR01535,ITEM03704,0
BR05791,ITEM01936,1
BR04148,ITEM06671,0
BR05157,ITEM05977,1
BR00215,ITEM04601,1
BR02035,ITEM00285,1
BR09691,ITEM03408,1
