BookingID,ItemID,Quantity
1381,ITEM09735,7
3916,ITEM08377,6
3499,ITEM08053,6
1464,ITEM05020,4
2728,ITEM07044,7
1556,ITEM05904,6
4073,ITEM07559,10
4914,ITEM09365,4
1867,ITEM09128,1
2563,ITEM08885,8
4464,ITEM07171,10
1409,ITEM05837,5
3192,ITEM09316,1
1785,ITEM09787,7
61,ITEM06455,8
3409,ITEM07559,1
4040,ITEM05319,3
4505,ITEM06876,1
2023,ITEM09822,9
4035,ITEM09485,5
156,ITEM09911,7
4943,ITEM07009,10
1274,ITEM05687,9
4142,ITEM06324,3
904,ITEM06876,4
4966,ITEM08298,1
1890,ITEM05271,2
2748,ITEM09504,3
3542,ITEM08501,10
4611,ITEM07751,10
4750,ITEM08636,6
2962,ITEM09912,5
3985,ITEM05500,1
1803,ITEM08593,1
4217,ITEM05497,1
3775,ITEM07248,2
3762,ITEM09986,6
3724,ITEM07460,7
323,ITEM09606,5
40,ITEM05273,9
637,ITEM06317,3
536,ITEM05643,3
570,ITEM06960,3
4829,ITEM05946,5
3281,ITEM07061,7
3277,ITEM07100,9
4284,ITEM05035,3
559,ITEM06968,5
4458,ITEM05240,9
892,ITEM07779,7
2375,ITEM09158,6
4500,ITEM06560,6
3417,ITEM05332,8
3911,ITEM09327,4
1382,ITEM05733,4
713,ITEM07959,5
4938,ITEM06667,2
511,ITEM06762,5
3958,ITEM09901,3
3687,ITEM07597,5
1918,ITEM08080,6
3042,ITEM09968,2
30,ITEM05121,2
5000,ITEM06643,5
2362,ITEM06775,4
1760,ITEM08694,2
4734,ITEM09455,3
2122,ITEM05311,1
1902,ITEM07063,5
277,ITEM05146,4
1176,ITEM09817,5
846,ITEM05413,1
2429,ITEM05887,6
4515,ITEM05806,2
3521,ITEM07241,4
4659,ITEM07981,3
1072,ITEM07402,8
4620,ITEM07374,2
180,ITEM06135,2
3885,ITEM07811,2
2018,ITEM06761,1
4480,ITEM07257,2
3007,ITEM08509,4
4401,ITEM07845,6
772,ITEM06096,3
3174,ITEM06473,6
4019,ITEM06000,1
2799,ITEM06885,2
3893,ITEM05511,10
4525,ITEM09657,7
832,ITEM05563,6
4503,ITEM06262,6
4506,ITEM05889,7
452,ITEM09096,7
3533,ITEM09300,2
1727,ITEM09996,4
3640,ITEM06244,9
4928,ITEM09489,5
1270,ITEM05134,8
2915,ITEM08175,8
4589,ITEM05581,8
3774,ITEM08450,3
62,ITEM06353,3
1242,ITEM07945,2
417,ITEM08695,6
1310,ITEM09681,1
1399,ITEM08456,2
3298,ITEM08232,8
2556,ITEM09997,9
2757,ITEM07843,8
1752,ITEM06960,5
218,ITEM09277,6
408,ITEM06240,7
776,ITEM05087,7
3646,ITEM06044,9
3310,ITEM07674,7
3139,ITEM09410,8
1347,ITEM05314,5
4585,ITEM07156,10
967,ITEM06919,7
675,ITEM06379,4
3802,ITEM09721,5
4037,ITEM09641,8
4582,ITEM07988,3
2010,ITEM08359,4
4395,ITEM07941,4
2941,ITEM06616,8
92,ITEM07100,2
1558,ITEM08625,9
945,ITEM08311,6
4635,ITEM07610,3
4034,ITEM05448,8
721,ITEM06522,3
4119,ITEM09031,10
3110,ITEM08293,9
3665,ITEM05462,3
4443,ITEM06936,10
3152,ITEM05267,8
634,ITEM06204,2
3156,ITEM06945,3
3066,ITEM05529,7
2389,ITEM06847,2
2738,ITEM08356,6
3389,ITEM06833,10
1261,ITEM07211,1
1479,ITEM06257,4
940,ITEM08496,9
1743,ITEM06070,10
3916,ITEM05165,4
1052,ITEM06888,9
4072,ITEM06377,5
41,ITEM06555,5
3713,ITEM05976,9
2914,ITEM07639,2
3617,ITEM05568,5
1168,ITEM08194,6
1715,ITEM07536,5
3708,ITEM06860,6
2841,ITEM06894,4
2054,ITEM09442,8
4457,ITEM09533,6
2890,ITEM09129,10
2254,ITEM07785,7
4152,ITEM09713,4
840,ITEM07944,7
468,ITEM09578,2
2882,ITEM07605,6
2369,ITEM08883,6
4913,ITEM08003,4
894,ITEM09695,2
1939,ITEM06297,3
4419,ITEM08203,10
2824,ITEM06530,2
1150,ITEM05376,2
627,ITEM08887,4
2999,ITEM09766,3
4648,ITEM05358,10
4254,ITEM07596,6
444,ITEM06792,8
2128,ITEM06314,2
2286,ITEM06578,4
3458,ITEM08714,10
1227,ITEM07849,6
4787,ITEM08380,5
558,ITEM05410,8
1824,ITEM08434,10
2003,ITEM07886,2
3310,ITEM05651,3
1831,ITEM05409,5
1202,ITEM08892,8
2407,ITEM08128,7
550,ITEM07532,9
1872,ITEM05498,8
1121,ITEM05088,1
1687,ITEM07526,9
939,ITEM08551,10
499,ITEM05574,4
4552,ITEM07359,5
4129,ITEM06855,1
4730,ITEM05561,5
4661,ITEM09288,8
2450,ITEM05314,2
2887,ITEM09711,3
4179,ITEM05804,1
3230,ITEM06864,6
3513,ITEM05861,8
4724,ITEM05498,7
504,ITEM08152,7
2293,ITEM08864,4
1309,ITEM05975,9
2840,ITEM07260,6
2675,ITEM05418,8
460,ITEM09359,9
3023,ITEM07649,3
4458,ITEM07834,9
2360,ITEM08906,7
3616,ITEM06863,6
3201,ITEM09997,10
4982,ITEM05975,3
1210,ITEM06313,6
3740,ITEM05808,7
875,ITEM06538,6
4288,ITEM05502,5
1938,ITEM06203,6
2045,ITEM06066,5
1928,ITEM09918,6
568,ITEM09778,5
2741,ITEM07939,1
4723,ITEM08489,2
2003,ITEM05265,8
3845,ITEM08548,2
454,ITEM09958,5
370,ITEM05219,8
4437,ITEM07592,2
2817,ITEM09542,3
2472,ITEM06759,5
1237,ITEM05821,5
2658,ITEM08750,10
559,ITEM05023,4
413,ITEM09917,4
3757,ITEM09609,6
3020,ITEM09572,2
1808,ITEM09378,1
3256,ITEM06794,1
1987,ITEM09007,3
4191,ITEM09794,6
429,ITEM09418,8
4480,ITEM08675,3
1483,ITEM08823,10
1805,ITEM05488,2
2882,ITEM05579,9
1627,ITEM09659,9
891,ITEM05929,8
2878,ITEM08659,1
3945,ITEM06631,5
2468,ITEM07552,3
2256,ITEM08952,10
124,ITEM08618,10
2909,ITEM08462,9
184,ITEM08227,10
3977,ITEM09568,7
1131,ITEM07536,4
2605,ITEM09788,3
2460,ITEM08404,7
4026,ITEM09190,6
3844,ITEM09427,4
4214,ITEM06130,2
945,ITEM08626,1
2843,ITEM05895,1
477,ITEM08335,1
2564,ITEM09015,7
1759,ITEM07555,3
3553,ITEM09671,8
748,ITEM08594,4
1096,ITEM08840,1
2865,ITEM08557,9
4989,ITEM06415,3
4516,ITEM06383,8
3864,ITEM06339,9
4160,ITEM07989,5
314,ITEM08133,4
4448,ITEM09791,9
3483,ITEM09302,8
1211,ITEM08502,8
4097,ITEM07214,10
4459,ITEM06001,2
4615,ITEM05265,6
587,ITEM07021,6
4489,ITEM07864,2
871,ITEM06164,4
1243,ITEM08902,2
902,ITEM08098,4
3713,ITEM07305,4
1222,ITEM07733,10
4158,ITEM05428,2
48,ITEM05844,4
2964,ITEM07180,6
1582,ITEM05267,3
4785,ITEM08628,4
3402,ITEM08427,1
3475,ITEM07206,9
1629,ITEM07302,2
4774,ITEM09080,2
2536,ITEM06791,6
4425,ITEM06206,10
1593,ITEM08393,1
4309,ITEM05994,2
968,ITEM05396,7
2627,ITEM08474,5
4685,ITEM08264,6
3723,ITEM08398,4
1492,ITEM07475,9
4539,ITEM05776,7
3129,ITEM06298,4
2390,ITEM09839,1
1065,ITEM08837,9
1249,ITEM09850,5
948,ITEM05223,4
2476,ITEM05912,2
2887,ITEM08672,1
406,ITEM08801,9
2227,ITEM06507,10
2931,ITEM05776,2
419,ITEM09401,3
3707,ITEM07448,7
373,ITEM06374,4
2332,ITEM08461,1
1268,ITEM05377,7
1852,ITEM07370,6
901,ITEM08382,3
3954,ITEM06660,8
3813,ITEM08236,8
765,ITEM06830,1
2293,ITEM08159,2
2953,ITEM05092,3
927,ITEM08690,1
637,ITEM07846,6
3809,ITEM06277,10
2213,ITEM07655,10
1705,ITEM09398,2
3538,ITEM05854,10
4242,ITEM05284,6
3304,ITEM09717,10
1756,ITEM07680,9
411,ITEM05422,10
4704,ITEM09001,6
2660,ITEM06039,4
3816,ITEM05383,4
3164,ITEM05867,7
674,ITEM05605,1
4033,ITEM05879,10
1313,ITEM08539,5
4632,ITEM09598,1
3917,ITEM09846,4
4479,ITEM06802,6
3145,ITEM06793,8
3835,ITEM08982,9
2484,ITEM09320,10
1602,ITEM09673,9
4235,ITEM06953,3
2151,ITEM06210,7
2135,ITEM09690,3
4447,ITEM05112,2
1692,ITEM07564,9
3061,ITEM06184,1
3591,ITEM06867,3
643,ITEM07791,3
1574,ITEM09097,3
4698,ITEM07133,7
4036,ITEM09394,4
4631,ITEM09746,4
2452,ITEM08248,8
3210,ITEM08149,6
4933,ITEM05526,8
2391,ITEM05819,1
4756,ITEM07061,10
360,ITEM08069,7
4486,ITEM09748,5
2610,ITEM07982,8
4522,ITEM07577,7
3826,ITEM05390,6
498,ITEM09993,9
1824,ITEM07056,10
4215,ITEM07532,9
3646,ITEM07509,4
4978,ITEM07257,4
497,ITEM06072,9
3155,ITEM06161,7
861,ITEM09948,3
2773,ITEM08637,2
2265,ITEM05446,3
3445,ITEM07356,4
505,ITEM07963,10
1554,ITEM09143,1
3941,ITEM07354,1
2176,ITEM07880,3
513,ITEM10000,9
1185,ITEM08086,6
2322,ITEM07354,5
1067,ITEM08626,7
4458,ITEM06726,2
3185,ITEM05453,7
3923,ITEM09492,1
209,ITEM05885,9
3536,ITEM08835,8
4741,ITEM09864,10
783,ITEM09901,6
2911,ITEM06116,7
4287,ITEM05557,10
326,ITEM08174,7
622,ITEM05849,4
4687,ITEM05182,1
4142,ITEM05256,1
2226,ITEM05185,10
3717,ITEM08567,8
331,ITEM07395,10
4212,ITEM05187,4
3778,ITEM06280,6
3847,ITEM08403,10
620,ITEM08130,5
2261,ITEM08969,3
180,ITEM06224,2
1393,ITEM05065,10
3989,ITEM06294,6
849,ITEM05744,1
1851,ITEM08685,9
2546,ITEM09553,5
2525,ITEM06708,1
2621,ITEM08342,5
2267,ITEM09055,6
2366,ITEM07061,7
1212,ITEM05166,4
2130,ITEM09884,6
