SessionID,UserID,SessionStart,SessionDuration,DeviceType,IPAddress,InternalSource
SESSION00001,USR09065,2024-01-26 10:41:28,2652,Tablet,71.167.168.106,API
SESSION00002,USR08052,2024-01-11 04:17:39,807,Tablet,120.194.155.15,Website
SESSION00003,USR04184,2024-06-30 09:01:05,3842,Tablet,197.3.228.113,Website
SESSION00004,USR00517,2024-01-30 04:24:06,1340,Desktop,28.102.138.21,App
SESSION00005,USR01027,2024-12-06 02:38:54,2173,Desktop,96.216.38.161,App
SESSION00006,USR04265,2024-10-30 10:57:03,961,Desktop,212.132.197.191,API
SESSION00007,USR09867,2024-03-28 14:03:48,3837,Desktop,200.197.192.182,API
SESSION00008,USR08352,2024-12-17 05:45:50,3141,Tablet,59.18.228.148,Website
SESSION00009,USR00225,2024-06-10 15:55:35,1013,Tablet,154.91.179.207,API
SESSION00010,USR09595,2024-11-20 08:30:56,6882,Tablet,119.90.95.226,API
SESSION00011,USR01012,2024-08-27 22:35:21,4946,Desktop,154.230.232.89,Website
SESSION00012,USR05208,2024-01-27 07:05:28,930,Desktop,170.118.66.176,API
SESSION00013,USR09496,2023-12-27 10:46:33,1955,Mobile,85.255.57.30,API
SESSION00014,USR02595,2024-04-14 03:17:05,2547,Desktop,144.159.78.105,API
SESSION00015,USR02379,2024-01-15 12:09:15,2132,Tablet,40.152.183.237,Website
SESSION00016,USR01046,2024-02-22 12:19:46,4575,Desktop,156.72.17.2,App
SESSION00017,USR04918,2024-11-13 19:25:12,1515,Mobile,94.155.220.161,API
SESSION00018,USR02790,2024-04-19 09:34:25,1562,Desktop,63.77.115.209,API
SESSION00019,USR04146,2024-06-15 15:24:19,2858,Mobile,20.171.173.241,API
SESSION00020,USR00640,2024-02-20 10:30:12,6714,Mobile,113.52.160.156,App
SESSION00021,USR08419,2024-09-25 04:27:33,3893,Tablet,61.218.118.191,App
SESSION00022,USR03131,2024-02-15 08:48:20,142,Tablet,200.184.245.233,API
SESSION00023,USR00603,2024-04-20 14:17:00,258,Tablet,79.130.192.122,Website
SESSION00024,USR02468,2024-10-16 04:04:17,2749,Tablet,27.17.91.246,API
SESSION00025,USR05055,2024-07-29 15:35:12,3907,Mobile,157.58.92.137,App
SESSION00026,USR05276,2024-11-26 14:21:05,1894,Tablet,89.131.161.87,Website
SESSION00027,USR04103,2024-10-28 04:04:25,862,Desktop,13.225.75.27,Website
SESSION00028,USR08846,2024-01-30 16:04:04,98,Mobile,126.124.9.125,Website
SESSION00029,USR09341,2024-11-21 22:19:10,2662,Desktop,111.246.198.19,API
SESSION00030,USR08915,2024-09-02 19:14:03,2499,Tablet,69.25.210.252,App
SESSION00031,USR07383,2024-12-08 04:53:46,2005,Mobile,146.120.226.5,Website
SESSION00032,USR00023,2024-05-03 07:38:35,1143,Desktop,37.121.40.247,API
SESSION00033,USR07893,2024-04-18 11:58:43,5027,Tablet,153.179.59.187,API
SESSION00034,USR03779,2024-06-12 08:56:27,6339,Mobile,30.143.200.142,Website
SESSION00035,USR01271,2024-04-07 03:32:59,759,Desktop,5.140.192.229,Website
SESSION00036,USR08459,2024-10-27 15:20:25,5454,Tablet,134.127.182.105,App
SESSION00037,USR09733,2024-11-09 00:45:01,4350,Desktop,42.153.40.120,Website
SESSION00038,USR02483,2024-06-17 23:14:29,2483,Tablet,58.175.55.189,API
SESSION00039,USR05712,2024-09-13 11:40:13,581,Tablet,187.123.99.170,API
SESSION00040,USR08778,2024-02-14 07:36:53,1253,Tablet,87.159.106.29,API
SESSION00041,USR06344,2024-06-29 13:25:14,4931,Mobile,98.71.114.179,App
SESSION00042,USR06145,2024-05-29 10:58:58,274,Mobile,118.0.175.90,App
SESSION00043,USR04161,2024-04-14 00:46:03,1088,Mobile,135.174.203.202,App
SESSION00044,USR07308,2024-10-26 05:27:39,840,Desktop,188.16.199.18,App
SESSION00045,USR02215,2024-03-02 03:20:36,6296,Tablet,223.231.189.0,Website
SESSION00046,USR07550,2024-06-12 09:40:42,1190,Tablet,38.223.62.66,Website
SESSION00047,USR05755,2024-05-25 01:17:07,3399,Mobile,162.165.225.177,Website
SESSION00048,USR07773,2024-07-13 06:23:41,835,Desktop,104.79.144.189,Website
SESSION00049,USR09741,2024-11-08 16:23:36,502,Desktop,94.52.182.112,App
SESSION00050,USR05642,2024-07-23 11:17:08,2713,Tablet,84.53.62.224,API
SESSION00051,USR09168,2024-03-21 04:44:02,6919,Tablet,13.51.225.28,API
SESSION00052,USR05338,2024-08-05 21:54:35,1655,Mobile,176.58.0.143,API
SESSION00053,USR04254,2024-05-29 01:42:26,5875,Mobile,64.113.95.189,Website
SESSION00054,USR00359,2024-11-15 01:29:08,5362,Desktop,42.91.32.170,App
SESSION00055,USR01552,2024-06-02 07:39:05,3268,Desktop,222.135.5.83,API
SESSION00056,USR02214,2024-03-29 13:16:44,371,Tablet,120.175.62.146,Website
SESSION00057,USR02504,2024-05-22 02:04:00,195,Desktop,156.154.73.17,App
SESSION00058,USR05861,2024-04-30 18:28:55,2654,Mobile,117.250.10.143,Website
SESSION00059,USR06532,2024-07-27 12:38:26,3550,Desktop,190.47.90.61,API
SESSION00060,USR02702,2024-07-04 11:43:59,2485,Desktop,133.96.49.149,App
SESSION00061,USR03377,2024-03-14 12:42:03,4750,Desktop,153.21.52.61,Website
SESSION00062,USR02064,2024-04-19 16:36:43,6801,Tablet,62.135.201.81,API
SESSION00063,USR00025,2024-09-26 10:21:24,2229,Tablet,61.156.247.39,Website
SESSION00064,USR08216,2024-01-10 04:26:21,3473,Mobile,113.75.126.16,API
SESSION00065,USR04507,2024-09-02 09:18:25,6139,Mobile,156.25.156.243,Website
SESSION00066,USR02982,2024-10-17 04:14:09,507,Desktop,211.147.89.58,App
SESSION00067,USR06087,2024-07-22 21:19:37,1586,Tablet,66.206.38.126,Website
SESSION00068,USR01602,2024-01-22 10:17:07,5542,Desktop,66.58.86.181,App
SESSION00069,USR06845,2024-01-20 01:28:35,5615,Mobile,139.35.182.235,API
SESSION00070,USR06848,2024-07-23 23:03:01,2186,Tablet,185.25.41.165,App
SESSION00071,USR06578,2024-03-19 06:50:25,6920,Tablet,178.50.29.252,API
SESSION00072,USR08126,2024-03-23 07:54:49,1084,Mobile,131.212.112.120,Website
SESSION00073,USR03942,2024-02-01 21:07:49,4241,Tablet,154.41.164.159,Website
SESSION00074,USR09454,2024-10-12 19:37:57,1903,Desktop,162.249.0.172,API
SESSION00075,USR08794,2024-05-08 00:00:05,2152,Mobile,98.58.193.181,App
SESSION00076,USR07286,2024-01-05 06:38:01,1292,Mobile,111.133.181.145,API
SESSION00077,USR00484,2024-08-12 10:13:20,5,Mobile,213.120.120.230,Website
SESSION00078,USR04510,2024-08-30 20:46:26,6238,Mobile,18.61.39.130,API
SESSION00079,USR09474,2024-08-25 16:24:40,6125,Mobile,47.0.102.142,App
SESSION00080,USR03256,2024-08-05 18:19:25,837,Tablet,86.97.68.115,API
SESSION00081,USR08055,2024-10-03 06:35:00,3042,Desktop,154.248.129.128,API
SESSION00082,USR09353,2024-12-06 07:00:22,3579,Tablet,180.6.67.93,App
SESSION00083,USR09095,2024-04-19 16:08:18,5793,Mobile,29.6.10.122,App
SESSION00084,USR02970,2024-11-18 18:18:20,5773,Tablet,15.156.25.157,API
SESSION00085,USR08281,2024-03-03 14:14:49,7089,Tablet,72.20.48.8,App
SESSION00086,USR09298,2024-01-01 04:40:45,2181,Desktop,6.244.145.110,App
SESSION00087,USR08315,2024-07-13 04:05:08,6774,Tablet,28.35.17.8,App
SESSION00088,USR09966,2024-10-21 13:07:44,4525,Tablet,24.246.207.65,Website
SESSION00089,USR06952,2024-04-28 01:33:50,2469,Mobile,193.152.186.187,Website
SESSION00090,USR08248,2024-09-21 00:30:41,3743,Desktop,168.216.92.81,Website
SESSION00091,USR07866,2024-02-23 22:33:25,6073,Desktop,64.10.86.241,App
SESSION00092,USR02367,2024-09-07 17:26:29,2206,Desktop,45.64.27.144,API
SESSION00093,USR04126,2024-11-20 18:08:11,1808,Desktop,33.167.77.152,API
SESSION00094,USR00973,2024-09-01 21:42:22,4905,Desktop,151.219.77.150,API
