OrderID,ItemID,Quantity
ORD04254,ITEM03576,1
ORD02771,ITEM09470,4
ORD02035,ITEM03955,7
ORD04454,ITEM09681,8
ORD08347,ITEM06866,8
ORD02105,ITEM05248,5
ORD03471,ITEM08992,2
ORD04802,ITEM04874,4
ORD05017,ITEM08816,9
ORD08396,ITEM05220,5
ORD08787,ITEM01828,8
ORD06710,ITEM02028,9
ORD01386,ITEM08529,2
ORD01797,ITEM01273,6
ORD04064,ITEM00327,4
ORD03246,ITEM03403,5
ORD02893,ITEM03569,9
ORD01869,ITEM09365,8
ORD04908,ITEM03500,10
ORD00078,ITEM00686,8
ORD01213,ITEM00589,5
ORD05147,ITEM08864,9
ORD06124,ITEM08908,2
ORD06321,ITEM07585,8
ORD01245,ITEM06797,9
ORD01753,ITEM06224,6
ORD05391,ITEM06327,7
ORD07563,ITEM02227,3
ORD08102,ITEM05235,8
ORD04857,ITEM05753,7
ORD09931,ITEM05418,5
ORD02383,ITEM03277,2
ORD02126,ITEM00612,2
ORD02760,ITEM09065,1
ORD05261,ITEM00648,3
ORD04124,ITEM02228,9
ORD06155,ITEM06578,10
ORD09343,ITEM01563,2
ORD04439,ITEM08532,7
ORD09062,ITEM06186,6
ORD06791,ITEM07674,6
ORD00274,ITEM02006,10
ORD05812,ITEM00835,2
ORD01091,ITEM08166,7
ORD06395,ITEM03537,2
ORD09844,ITEM02953,3
ORD07709,ITEM09399,5
ORD03077,ITEM03299,10
ORD03456,ITEM09522,2
ORD07619,ITEM08944,10
ORD06123,ITEM01926,3
ORD08864,ITEM05942,8
ORD02756,ITEM05525,7
ORD08252,ITEM09792,7
ORD02179,ITEM07847,2
ORD03263,ITEM09652,5
ORD09915,ITEM08258,9
ORD01791,ITEM05234,7
ORD03924,ITEM09858,6
ORD08129,ITEM05848,5
ORD03102,ITEM07604,7
ORD06955,ITEM05231,6
ORD05226,ITEM05123,4
ORD01748,ITEM01289,1
ORD00887,ITEM07800,9
ORD01787,ITEM03207,9
ORD00602,ITEM09467,1
ORD03978,ITEM05892,10
ORD02782,ITEM04994,9
ORD03249,ITEM05947,5
ORD09980,ITEM02294,1
ORD09813,ITEM04937,1
ORD06667,ITEM07852,10
ORD04378,ITEM04330,4
ORD06638,ITEM05891,5
ORD01866,ITEM09161,7
ORD05017,ITEM00321,3
ORD03876,ITEM03512,9
ORD09328,ITEM05329,10
ORD09196,ITEM05568,3
ORD04157,ITEM01356,9
ORD04696,ITEM01388,7
ORD04784,ITEM03397,8
ORD06578,ITEM09181,9
ORD04174,ITEM05920,10
ORD04225,ITEM06640,4
ORD01360,ITEM05665,3
ORD03314,ITEM09551,4
ORD09292,ITEM08733,2
ORD08243,ITEM00661,2
ORD07628,ITEM00509,4
ORD04205,ITEM09884,7
ORD09011,ITEM05674,1
ORD08080,ITEM08716,10
ORD05339,ITEM04908,8
ORD00066,ITEM04602,1
ORD06706,ITEM01636,1
ORD09256,ITEM04245,2
ORD03415,ITEM06383,1
ORD02422,ITEM08518,7
ORD04136,ITEM05083,5
ORD01216,ITEM00531,3
ORD01466,ITEM02096,7
ORD08747,ITEM01172,4
ORD00765,ITEM05533,3
ORD08690,ITEM01884,2
ORD09134,ITEM01329,7
ORD02935,ITEM02852,10
ORD06579,ITEM08606,5
ORD05812,ITEM09190,4
ORD07569,ITEM04748,6
ORD06851,ITEM03506,8
ORD00923,ITEM05885,5
ORD02278,ITEM07403,10
ORD00037,ITEM00533,9
ORD06199,ITEM00020,7
ORD03876,ITEM05755,9
ORD03672,ITEM01732,7
ORD06452,ITEM07873,5
ORD00553,ITEM00471,7
ORD09562,ITEM06627,1
ORD07866,ITEM09470,5
ORD09857,ITEM08290,1
ORD03344,ITEM09183,9
ORD05652,ITEM08654,2
ORD09826,ITEM00592,10
ORD09692,ITEM04195,9
ORD02690,ITEM08558,1
ORD02759,ITEM08624,2
ORD00251,ITEM03928,9
ORD09670,ITEM07165,2
ORD07600,ITEM09158,8
ORD04466,ITEM03111,6
ORD02788,ITEM00523,3
ORD09045,ITEM08233,1
ORD05651,ITEM01884,9
ORD05868,ITEM04947,1
ORD09477,ITEM03181,5
ORD06113,ITEM01770,5
ORD03990,ITEM02998,8
ORD04677,ITEM02271,5
ORD02484,ITEM04840,3
ORD03430,ITEM02776,1
ORD03798,ITEM00796,2
ORD09527,ITEM07963,2
ORD08265,ITEM04704,1
ORD04380,ITEM03766,4
ORD06929,ITEM07913,5
ORD07335,ITEM05572,3
ORD08978,ITEM04093,8
ORD09398,ITEM02720,10
ORD05810,ITEM06571,9
ORD05728,ITEM01519,7
ORD03976,ITEM08095,1
ORD04229,ITEM08552,4
ORD03511,ITEM09585,3
ORD09523,ITEM05117,3
ORD02666,ITEM03875,6
ORD08015,ITEM09789,2
ORD05349,ITEM09025,5
ORD03193,ITEM09213,4
ORD00807,ITEM04769,6
ORD00409,ITEM04766,2
ORD09737,ITEM07676,9
ORD05687,ITEM01137,4
ORD01900,ITEM04290,4
ORD00601,ITEM04480,7
ORD06182,ITEM03932,1
ORD09226,ITEM04899,10
ORD05782,ITEM00810,8
ORD02247,ITEM05258,8
ORD00246,ITEM09646,10
ORD00347,ITEM08427,2
ORD08706,ITEM00866,3
ORD05396,ITEM04728,10
ORD06273,ITEM09074,3
ORD00034,ITEM02807,8
ORD02615,ITEM01464,5
ORD09708,ITEM06149,1
ORD05310,ITEM03275,6
ORD07852,ITEM04650,2
ORD06049,ITEM02700,6
ORD00829,ITEM09910,5
ORD04719,ITEM07239,9
ORD04133,ITEM07660,6
ORD04775,ITEM01524,3
ORD06156,ITEM00862,2
ORD04315,ITEM02967,7
ORD09735,ITEM09754,10
ORD01373,ITEM05911,5
ORD06512,ITEM02974,8
ORD06199,ITEM04190,9
ORD06488,ITEM00340,8
ORD04737,ITEM07687,2
ORD07317,ITEM06957,3
ORD06337,ITEM04855,5
ORD04646,ITEM04507,8
ORD05615,ITEM00449,8
ORD00031,ITEM01878,7
ORD04324,ITEM05340,5
ORD05031,ITEM01603,2
ORD00645,ITEM06445,7
ORD00540,ITEM09244,1
ORD09098,ITEM08054,9
ORD06455,ITEM06712,6
ORD05706,ITEM00515,9
ORD01342,ITEM07398,2
ORD07782,ITEM09155,3
ORD04887,ITEM06542,3
ORD04947,ITEM02012,2
ORD06691,ITEM06594,2
ORD06977,ITEM08400,8
ORD04018,ITEM01221,9
ORD03113,ITEM04775,8
ORD06842,ITEM08930,3
ORD01118,ITEM00411,6
ORD04087,ITEM05965,1
ORD07496,ITEM07313,4
ORD05405,ITEM01087,2
ORD08227,ITEM04874,2
ORD05114,ITEM00763,5
ORD09298,ITEM09444,8
ORD05784,ITEM08220,1
ORD05678,ITEM06452,10
ORD03404,ITEM02043,2
ORD06677,ITEM07520,3
ORD05965,ITEM03351,5
ORD04801,ITEM03636,6
ORD05870,ITEM05980,2
ORD05279,ITEM03008,5
ORD04023,ITEM09756,2
ORD02501,ITEM07930,9
ORD06318,ITEM04045,2
ORD03932,ITEM05901,6
ORD09904,ITEM06563,1
ORD06258,ITEM06746,1
ORD07421,ITEM05345,6
ORD08536,ITEM01421,2
ORD09563,ITEM09410,3
ORD08539,ITEM00891,7
ORD07307,ITEM03809,4
ORD01465,ITEM07506,5
ORD01432,ITEM01261,1
ORD04934,ITEM06805,2
ORD08495,ITEM04370,5
ORD04629,ITEM03674,7
ORD08798,ITEM06069,4
ORD05477,ITEM09179,7
ORD07852,ITEM02059,5
ORD06802,ITEM00638,5
ORD04121,ITEM00445,1
ORD00820,ITEM06563,5
ORD07142,ITEM09529,5
ORD01395,ITEM04327,9
ORD02250,ITEM05821,9
ORD01316,ITEM00799,7
ORD01968,ITEM05044,6
ORD08523,ITEM09124,6
ORD06827,ITEM05998,8
ORD08636,ITEM08350,10
ORD05985,ITEM01158,2
ORD08732,ITEM08456,10
ORD09690,ITEM03858,6
ORD04275,ITEM09033,5
ORD03178,ITEM08416,7
ORD05352,ITEM07246,9
ORD00440,ITEM01687,2
ORD03097,ITEM01098,3
ORD08203,ITEM09362,3
ORD02783,ITEM03634,4
ORD00100,ITEM05689,2
ORD02106,ITEM04340,4
ORD04131,ITEM01219,7
ORD09876,ITEM00534,10
ORD03046,ITEM02350,8
ORD03668,ITEM06439,1
ORD07362,ITEM08353,3
ORD05750,ITEM03228,7
ORD08697,ITEM08926,3
ORD03712,ITEM07968,7
ORD09240,ITEM01583,8
ORD04075,ITEM03126,10
ORD01384,ITEM02243,3
ORD07202,ITEM07667,6
ORD01086,ITEM05094,6
ORD09018,ITEM02262,5
ORD02347,ITEM07492,8
ORD08674,ITEM08509,4
ORD09502,ITEM01766,9
ORD09120,ITEM08727,10
ORD01456,ITEM09503,8
ORD04934,ITEM06818,8
ORD08181,ITEM07858,3
ORD06774,ITEM07290,10
ORD08958,ITEM09122,7
ORD05594,ITEM09926,1
ORD05234,ITEM05781,8
ORD02478,ITEM02088,2
ORD07032,ITEM02272,3
ORD06020,ITEM01447,8
ORD07299,ITEM05776,1
ORD02545,ITEM05176,4
ORD07040,ITEM03837,8
ORD07868,ITEM06394,10
ORD04556,ITEM03313,5
ORD01096,ITEM00211,2
ORD05587,ITEM07773,4
ORD09553,ITEM06896,9
ORD06602,ITEM00170,3
ORD07642,ITEM09270,8
ORD02326,ITEM08784,3
ORD03413,ITEM01353,5
ORD05066,ITEM09051,8
ORD05328,ITEM00184,6
ORD00005,ITEM04297,3
ORD03973,ITEM07527,3
ORD03975,ITEM02846,6
ORD03377,ITEM00181,2
ORD05935,ITEM09737,6
ORD02295,ITEM00057,9
ORD05680,ITEM04266,2
ORD06155,ITEM03484,10
ORD00001,ITEM06689,6
ORD05939,ITEM07502,1
ORD06851,ITEM03442,5
ORD04738,ITEM04576,3
ORD04968,ITEM09362,1
ORD03375,ITEM04492,1
ORD03600,ITEM08476,4
ORD04986,ITEM07507,1
ORD09421,ITEM02141,3
ORD08627,ITEM05332,8
ORD03022,ITEM00196,2
ORD04823,ITEM00420,9
ORD00534,ITEM05329,6
ORD06503,ITEM09129,2
ORD00336,ITEM05988,6
ORD01147,ITEM02331,6
ORD00150,ITEM09410,10
ORD07960,ITEM00102,4
ORD09586,ITEM06534,1
ORD09137,ITEM00602,6
ORD06666,ITEM04470,7
ORD08458,ITEM04413,6
ORD03290,ITEM01069,2
ORD06178,ITEM00431,5
ORD07562,ITEM07491,8
ORD00127,ITEM03247,10
ORD04227,ITEM01183,8
ORD07338,ITEM05570,7
ORD06763,ITEM04494,5
ORD07751,ITEM08018,5
ORD09341,ITEM09248,6
ORD07326,ITEM06908,5
ORD07273,ITEM07793,6
ORD04038,ITEM01653,8
ORD07294,ITEM02651,5
ORD07421,ITEM01686,9
ORD03140,ITEM08162,9
ORD04873,ITEM03853,3
ORD09755,ITEM04620,1
ORD04287,ITEM02914,10
ORD00095,ITEM01011,4
ORD09056,ITEM05475,4
ORD01701,ITEM08294,7
ORD07963,ITEM08660,6
ORD08665,ITEM08804,5
ORD00244,ITEM08825,9
ORD03297,ITEM07596,6
ORD08896,ITEM07782,8
ORD01870,ITEM09281,9
ORD05326,ITEM05393,3
ORD04615,ITEM02852,9
ORD03319,ITEM08631,4
ORD08200,ITEM06585,10
ORD04299,ITEM03876,8
ORD01963,ITEM02111,4
ORD09328,ITEM08349,4
ORD08700,ITEM03399,3
ORD05574,ITEM08006,7
ORD08027,ITEM04033,3
ORD00094,ITEM01042,6
