OrderID,OrderDate,StaffID,TableNumber,BranchID,CustomerID
ORD00001,2024-04-23,ST00698,46,BR00001,CUST07560
ORD00002,2024-02-29,ST00565,10,BR00780,CUST06140
ORD00003,2024-03-15,ST00451,29,BR00178,CUST03863
ORD00004,2024-06-16,ST00197,22,BR00857,CUST04429
ORD00005,2024-08-07,ST00650,30,BR00576,CUST06429
ORD00006,2024-12-13,ST00213,45,BR00133,CUST06701
ORD00007,2024-10-14,ST00566,37,BR00710,CUST04062
ORD00008,2024-12-05,ST00895,21,BR00653,CUST04391
ORD00009,2024-08-26,ST00259,30,BR00388,CUST07006
ORD00010,2024-07-03,ST00946,10,BR00066,CUST01587
ORD00011,2023-12-22,ST00207,40,BR00055,CUST08084
ORD00012,2024-11-23,ST00622,21,BR00120,CUST09443
ORD00013,2024-01-07,ST00106,9,BR00068,CUST06529
ORD00014,2024-03-31,ST00288,17,BR00650,CUST07243
ORD00015,2024-09-05,ST00016,49,BR00595,CUST07409
ORD00016,2024-04-13,ST00558,50,BR00699,CUST03304
ORD00017,2024-11-23,ST00093,46,BR00618,CUST03254
ORD00018,2024-07-04,ST00058,42,BR00133,CUST02254
ORD00019,2024-09-11,ST00228,16,BR00075,CUST08468
ORD00020,2024-01-30,ST00488,3,BR00133,CUST03162
ORD00021,2024-05-03,ST00088,4,BR00022,CUST00745
ORD00022,2024-01-30,ST00439,36,BR00901,CUST05200
ORD00023,2024-10-21,ST00307,45,BR00091,CUST07530
ORD00024,2024-11-25,ST00108,31,BR00808,CUST09878
ORD00025,2024-06-11,ST00671,13,BR00876,CUST09217
ORD00026,2024-03-17,ST00031,4,BR00334,CUST03220
ORD00027,2024-03-12,ST00969,26,BR00917,CUST08717
ORD00028,2024-06-12,ST00768,15,BR00986,CUST04615
ORD00029,2024-11-12,ST00036,38,BR00574,CUST04760
ORD00030,2024-10-07,ST00297,35,BR00705,CUST00806
ORD00031,2024-06-22,ST00606,15,BR00923,CUST09989
ORD00032,2024-05-12,ST00641,44,BR00779,CUST01076
ORD00033,2023-12-20,ST00572,15,BR00448,CUST09660
ORD00034,2024-05-05,ST00220,40,BR00453,CUST03453
ORD00035,2024-10-19,ST00655,50,BR00736,CUST04148
ORD00036,2024-11-16,ST00828,47,BR00355,CUST07947
ORD00037,2024-12-14,ST00973,27,BR00393,CUST04684
ORD00038,2023-12-18,ST00460,33,BR00115,CUST06606
ORD00039,2024-03-03,ST00079,17,BR00919,CUST07197
ORD00040,2024-03-13,ST00471,39,BR00798,CUST00012
ORD00041,2024-05-25,ST00896,31,BR00088,CUST03002
ORD00042,2024-09-26,ST00979,13,BR00398,CUST07327
ORD00043,2024-02-17,ST00154,20,BR00680,CUST02531
ORD00044,2024-02-08,ST00616,2,BR00162,CUST09071
ORD00045,2024-09-08,ST00072,6,BR00968,CUST04477
ORD00046,2024-12-07,ST00838,44,BR00501,CUST03098
ORD00047,2024-01-08,ST00220,7,BR00865,CUST09311
