RegionID,RegionName
1,Christinashire
2,West Kristinstad
3,North Robertport
4,West Steven
5,New Victorchester
6,Lisafort
7,West Antonioside
8,Wrightberg
9,Ericstad
10,Ashleyshire
11,Rodneychester
12,Port Bridgetbury
13,Cooperberg
14,New Tammyborough
15,South John
16,West Charlesbury
17,West Joshua
18,Gailborough
19,Shellyberg
20,East Micheleland
21,Mullinsbury
22,South Douglasborough
23,East Maria
24,Candacemouth
25,Markland
26,Smithmouth
27,East Tanyachester
28,South Jennifer
29,Amandastad
30,Williamsshire
31,Anthonyton
32,Staceyberg
33,North Jeremychester
34,East Gabrielland
35,West Amy
36,Reidmouth
37,New Mike
38,New Robertmouth
39,East Michaelmouth
40,Arnoldfort
41,North Dominiqueburgh
42,Meganburgh
43,East Patrickhaven
44,South Mary
45,Barrybury
46,Lake Ronald
47,Lake Kenneth
48,Jacobmouth
49,Morantown
50,Normanville
51,West Jonathonville
52,New Seanport
53,East Katrinafort
54,Brownton
55,New Karlside
56,Briannastad
57,Joshuashire
58,Hannahbury
59,Richardston
60,Eddieview
61,Port Amberburgh
62,Andreaview
63,Christopherside
64,Cooperfurt
65,Andreafurt
66,Kempmouth
67,North Andrewland
68,Bradleyburgh
69,Melvinbury
70,Cisnerosmouth
71,West Amanda
72,North Kristenview
73,Stevenland
74,West Brian
75,Port Steventown
76,Williamsmouth
77,Port Evelyntown
78,East Adam
79,West Bethanystad
80,West Michael
81,Sierraton
82,Port Brian
83,South Timothyville
84,Charleneport
85,East Stephanieshire
86,South Jamesbury
87,Amyport
88,North Jennifertown
89,Burnsshire
90,Angelamouth
91,North Johnfurt
92,North Mollyland
93,Jamesview
94,South Gary
95,Jerrytown
96,North Rebeccaside
97,Edwardborough
98,Boothtown
99,West Samanthafurt
100,Mullinsport
101,North Javier
102,Larabury
103,Trevorland
104,North Michael
105,Lake Derek
106,Lake Dawnmouth
107,Lake Brendachester
108,North Joel
109,Michaelbury
110,East Robertton
111,Johnside
112,New Francisco
113,Nguyenbury
114,Port Rhondastad
115,Joshuaton
116,Port Christopherfort
117,Port Jose
118,South Melissa
119,East Megan
120,Danielton
121,Lake Lisa
122,Robertton
123,North Kennethborough
124,South Destiny
125,East Courtneyview
126,South William
127,East Krista
128,Lindseyview
129,East Brandon
130,West Dylanville
131,Lauraton
132,Lake Stephanieland
133,Port Carlaberg
134,Robertsonhaven
135,North Danielleberg
136,Lake Edgarmouth
137,New Richardchester
138,Barneston
139,Dakotashire
140,West Brian
141,North Markstad
142,Moralesstad
143,Katherinebury
144,Youngtown
145,South Amberville
146,New Margaretland
147,Vanessafort
148,Alexandrachester
149,Lake Richard
150,New Antoniostad
151,Mirandabury
152,New Maria
153,East Ricardo
154,Port Jenniferport
155,Phillipsfort
156,Port Lindsey
157,Parksburgh
158,South Matthewmouth
159,East Travisburgh
160,North Terrancefurt
161,South Edward
162,East Cassidy
163,Amandafort
164,Jessicahaven
165,Margaretmouth
166,Thompsonland
167,West Erin
168,Stevenstad
169,Leonardfort
170,East Todd
171,Bryanside
172,South Steven
173,New Nicolas
174,Port Jason
175,South Annette
176,Meganberg
177,Reneemouth
178,South George
179,North Michaelstad
180,West Matthewland
181,New Nicholasmouth
182,Josephville
183,Mcleanbury
184,Bennettville
185,West Christopher
186,East Reneeberg
187,New Kennethbury
188,Allenshire
189,East Kenneth
190,Williamtown
191,Deborahside
192,East Nicholeport
193,North David
194,East Lonniebury
195,Port Julia
196,Lake Robin
197,Heiditon
198,Port Michael
199,Williamview
200,Kellyburgh
201,Laurahaven
202,Jamesbury
203,Barajasville
204,Port Bryceland
205,Williamburgh
206,West Rebekah
207,South Emilyburgh
208,Sharonton
209,South Marystad
210,Port Jasmine
211,South Rebeccamouth
212,New Alishaton
213,North John
214,West Claudiahaven
215,Sarabury
216,Lake James
217,Lake Carlos
218,Wardtown
219,West Brittanyport
220,Taraland
221,South Jamesstad
222,West Robertborough
223,Port Alex
224,Pierceborough
225,Jamesborough
226,South Michael
227,New Stevenburgh
228,New Jeffreybury
229,Sharonshire
230,East Jesse
231,New Ashley
232,North Cynthiaburgh
233,Michaelfort
234,Juliebury
235,Richardland
236,East Steven
237,East Anthonytown
238,Cassandrafurt
239,North Tiffanychester
240,Bellberg
241,West Annfort
242,Smithside
243,Garciaview
244,West Robertstad
245,Espinozaside
246,East Andreafurt
247,North Heidi
248,East Jennifermouth
249,Hudsonchester
250,South Carlaside
251,East John
252,East Meganborough
253,West Duane
254,Barronfurt
255,Raymondmouth
256,West Mark
257,Smithville
258,Markland
259,Chelseafort
260,Lake Sergiohaven
261,Alexanderberg
262,North Carolynstad
263,Victoriatown
264,Alexanderhaven
265,Richardland
266,Danielton
267,Christinahaven
268,Connieshire
269,Phillipsfurt
270,New Stephanie
271,Jessicaside
272,North Anthonymouth
273,West Tonya
274,Brownchester
275,New Christopherstad
276,North Amandashire
277,North Cassiestad
278,South Patricia
279,Hannahberg
280,Millerhaven
281,Juanport
282,North Julia
283,Chadchester
284,New Meganton
285,South Miguelbury
286,West Martinmouth
287,North Eric
288,South Amy
289,Port Joseport
290,New Justinfurt
291,Richardsonside
292,Joeport
293,Heathermouth
294,South David
295,Dawnberg
296,East Robert
297,Sullivantown
298,Tiffanybury
299,South Lisaville
300,Hayesview
301,New Jennifertown
302,North Amyfort
303,Stevenberg
304,Kimborough
305,New Johnstad
306,North Carolyn
307,Port Erin
308,Michaelland
309,Port Roberto
310,New Timothy
311,North Jennifermouth
312,Johnsonstad
313,Kellyburgh
314,Joshuastad
315,Lake Timothy
316,East Danielbury
317,Adkinsville
318,Vasqueztown
319,West Tracy
320,Burkemouth
321,Daviston
322,Reyesburgh
323,Hannahton
324,Markstad
325,Juliechester
326,East Jackieville
327,Adammouth
328,East Jordanfort
329,Millerberg
330,New Kimfort
331,Elizabethtown
332,New Nicole
333,Charlesmouth
334,Port Michelleburgh
335,Hillton
336,West Phillipfort
337,Christopherbury
338,New Michaelmouth
339,Lake Samuel
340,Lake Paulaton
341,Nicholasmouth
342,Powellberg
343,Flynnton
344,Alexanderport
345,Georgeview
346,West Michael
347,East Sherri
348,Lambertburgh
349,Cruzshire
350,Forbesstad
351,West Michelleland
352,Port Anthonystad
353,Port Staceyfort
354,Port Rachel
355,Edwardport
356,Weaverville
357,Port Catherineshire
358,Palmerbury
359,Eileenstad
360,Michelehaven
361,Port Brianshire
362,Turnerhaven
363,New Michelefurt
364,Lake Lindsaytown
365,Coreymouth
366,New Andrewview
367,New Danielleland
368,Colemouth
369,Coryview
370,East Alexanderborough
371,Anthonyville
372,South Richard
373,Rodriguezview
374,East Nancy
375,Gabriellefort
376,Claytonville
377,Humphreyland
378,Morganborough
379,New Lisa
380,New John
381,Jonesberg
382,Franklintown
383,New Robert
384,Charlesview
385,Port Amandaport
386,Garciamouth
387,Lake Justin
388,East Jeffrey
389,Ryanview
390,Mccarthyberg
391,New Joelfurt
392,North Joshua
393,Vanessaport
394,New Renee
395,Garrettborough
396,East Jamesborough
397,Schmittchester
398,Hernandezburgh
399,Marcustown
400,Port Ryan
401,Lake Kevinmouth
402,Nguyenborough
403,Sarahmouth
404,Larryhaven
405,Markmouth
406,East Abigailton
407,Robertchester
408,Port Edwardfort
409,Daniellestad
410,Hessmouth
411,Troyberg
412,Turnerberg
413,North Lori
414,Lake Courtneyville
415,Susanside
416,Johnland
417,Leehaven
418,North Robertview
419,Youngstad
420,Clarkport
421,West Yolandaberg
422,Gregorytown
423,Garzafort
424,Jeffreyland
425,West Nicolestad
426,Williamborough
427,Salazarton
428,Hillmouth
429,East Davidville
430,Lake Matthewmouth
431,Cochranshire
432,North Vanessaport
433,New Wanda
434,Oscarburgh
435,Kylefort
436,Lake John
437,Jonesside
438,Lake Stevenmouth
439,South Justinburgh
440,Lake Alyssa
441,New Donaldshire
442,East Jason
443,North Ryanhaven
444,Nicholasport
445,Kristinastad
446,North Lauren
447,East Bryan
448,New Allisonside
449,Taylorstad
450,South Jessica
451,East Alanshire
452,Jamiestad
453,West Monicamouth
454,Adamschester
455,New Erinchester
456,Danielville
457,Melissatown
458,West Bradley
459,Lake Williamfort
460,Austinstad
461,North Christopherside
462,Freymouth
463,North Kylefurt
464,Christineside
465,Danielton
466,Port Leroyville
467,Travismouth
468,Danielmouth
469,Hughestown
470,Luisshire
471,South Carlbury
472,Barnesville
473,Port Amanda
