HistoryID,StaffID,BranchID,StartDate,EndDate
1,ST04109,BR03626,2021-07-29,2022-02-03
2,ST07578,BR08632,2021-02-24,2021-05-02
3,ST07122,BR06546,2021-10-16,
4,ST04693,BR06916,2024-06-06,
5,ST01841,BR07940,2024-11-01,
6,ST05864,BR07567,2022-11-16,2023-05-18
7,ST07525,BR07656,2020-07-11,2021-05-29
8,ST07250,BR05556,2024-01-15,
9,ST04151,BR07917,2020-10-31,2020-12-10
10,ST02243,BR09457,2024-12-01,
11,ST04182,BR09875,2020-09-05,
12,ST05008,BR07913,2023-08-25,
13,ST01835,BR02612,2023-11-27,
14,ST01533,BR03295,2024-11-26,
15,ST00251,BR07273,2021-08-26,2022-08-17
16,ST09244,BR04427,2024-10-15,2025-03-24
17,ST07569,BR04958,2023-04-28,2023-12-02
18,ST09106,BR06661,2021-08-17,
19,ST00210,BR00788,2020-05-28,2020-06-01
20,ST01093,BR01579,2020-05-30,
21,ST01874,BR01236,2021-12-20,2022-09-09
22,ST05931,BR02504,2021-11-10,2022-03-13
23,ST06436,BR04051,2021-08-18,2021-09-10
24,ST05234,BR00334,2020-10-07,
25,ST02595,BR00622,2021-04-02,2021-04-22
26,ST07951,BR08055,2020-07-24,2021-01-10
27,ST08525,BR06627,2021-10-18,2022-05-20
28,ST07379,BR08258,2020-06-17,
29,ST07148,BR04446,2022-06-08,2023-04-09
30,ST07865,BR07398,2022-01-27,
31,ST07695,BR05758,2021-09-19,
32,ST05374,BR02667,2022-09-07,2023-02-27
33,ST04406,BR02330,2021-07-05,2022-07-02
34,ST00297,BR02730,2023-01-13,2023-02-18
35,ST02340,BR04492,2024-03-18,2024-10-15
36,ST01205,BR01007,2022-12-15,2023-06-14
37,ST04185,BR05470,2022-12-21,
38,ST04093,BR07094,2024-06-07,
39,ST09767,BR09742,2024-11-18,
40,ST02865,BR00927,2022-09-27,
41,ST05712,BR08365,2024-08-02,
42,ST09586,BR09452,2021-12-14,
43,ST00976,BR06957,2022-02-26,
44,ST01527,BR00212,2024-12-17,
45,ST02496,BR00743,2020-12-07,
46,ST06198,BR00563,2024-06-21,2024-06-24
47,ST05296,BR09326,2021-04-26,
48,ST01177,BR02911,2021-02-11,2021-09-06
49,ST05919,BR04363,2022-11-21,2023-06-17
50,ST04405,BR08578,2020-11-06,
51,ST00035,BR07710,2023-09-04,
52,ST01352,BR09669,2021-07-29,
53,ST04042,BR00962,2021-03-17,
54,ST02634,BR03202,2024-09-01,
55,ST02353,BR01624,2021-12-05,
56,ST00335,BR01388,2021-08-18,
57,ST03049,BR00224,2023-02-04,
58,ST07395,BR04194,2024-06-21,
59,ST07413,BR03634,2020-11-07,2021-11-01
60,ST04153,BR07961,2022-08-31,2023-03-02
61,ST07448,BR03674,2024-10-11,2025-06-08
62,ST08910,BR00829,2022-10-28,
63,ST03775,BR03105,2024-06-30,
64,ST06369,BR05349,2023-10-04,
65,ST09406,BR01495,2023-02-14,2023-12-14
66,ST03643,BR07446,2020-05-05,
67,ST03257,BR05945,2024-03-08,2024-04-01
68,ST03767,BR06438,2023-10-12,
69,ST09560,BR04587,2024-04-20,2024-04-28
70,ST00645,BR08089,2024-01-13,2024-07-14
71,ST08715,BR02294,2024-03-10,
72,ST03928,BR01286,2021-08-06,2022-01-29
73,ST00627,BR02497,2022-07-17,
74,ST05787,BR04997,2023-04-15,2023-06-14
75,ST09975,BR09120,2020-02-24,
76,ST03833,BR08218,2022-12-17,2023-10-02
77,ST03196,BR09850,2022-10-28,
78,ST02164,BR05286,2023-08-18,2024-04-24
79,ST09578,BR09876,2021-08-16,
80,ST01949,BR04950,2024-11-29,
81,ST09424,BR01613,2022-12-15,2023-05-07
82,ST02151,BR00994,2021-12-02,2021-12-12
83,ST00896,BR01405,2020-10-04,
84,ST06365,BR01394,2021-11-04,
85,ST05979,BR07953,2024-11-05,
86,ST09406,BR03495,2024-09-11,2025-02-16
87,ST02143,BR00689,2023-03-30,2023-10-07
88,ST09524,BR07800,2021-09-24,2021-10-24
89,ST02478,BR06877,2023-10-23,2023-11-06
90,ST01525,BR05729,2022-05-29,
91,ST06523,BR01241,2020-06-13,2021-03-25
92,ST04909,BR08361,2024-04-24,
93,ST05733,BR06424,2022-07-09,
