HistoryID,CardID,StatusChangeDate,PreviousCardType,NewCardType,SpendingDuringPeriod
1,CARD_e3be4d5c,2024-09-16,MEMBERSHIP,SILVER,2145717.19
2,CARD_441d4174,2024-07-01,MEMBERSHIP,SILVER,8469969.89
3,CARD_8f41b71c,2024-10-01,MEMBERSHIP,SILVER,5024623.45
4,CARD_03eb6f5d,2024-03-31,MEMBERSHIP,SILVER,5581432.55
5,CARD_03eb6f5d,2024-06-29,SILVER,GOLD,8437739.64
6,CARD_03eb6f5d,2024-09-27,GOLD,SILVER,3086862.39
7,CARD_0682c80c,2024-12-12,MEMBERSHIP,SILVER,2667199.09
8,CARD_46062e42,2023-11-20,MEMBERSHIP,SILVER,3978372.74
9,CARD_ce8ba20a,2024-04-07,MEMBERSHIP,SILVER,1204394.29
10,CARD_a22247d7,2023-04-17,MEMBERSHIP,SILVER,5470987.74
11,CARD_a22247d7,2023-10-14,SILVER,GOLD,3101765.83
12,CARD_c47a2eb0,2023-07-25,MEMBERSHIP,SILVER,2746914.71
13,CARD_bb8e2949,2023-10-20,MEMBERSHIP,SILVER,2990780.87
14,CARD_bb8e2949,2024-01-18,SILVER,GOLD,7866410.75
15,CARD_bb8e2949,2024-04-17,GOLD,SILVER,918147.57
16,CARD_810468a9,2023-07-06,MEMBERSHIP,SILVER,8933049.93
17,CARD_810468a9,2024-01-02,SILVER,GOLD,6515354.85
18,CARD_810468a9,2024-04-01,GOLD,SILVER,2768338.09
19,CARD_bf7a2985,2023-12-16,MEMBERSHIP,SILVER,7679106.91
20,CARD_d5d1c567,2024-11-26,MEMBERSHIP,SILVER,1579113.06
21,CARD_a69d90eb,2023-07-27,MEMBERSHIP,SILVER,9872387.74
22,CARD_a69d90eb,2023-10-25,SILVER,GOLD,4470397.43
23,CARD_a69d90eb,2024-04-22,GOLD,SILVER,9467732.02
24,CARD_f1027747,2024-03-23,MEMBERSHIP,SILVER,6206449.26
25,CARD_f1027747,2024-09-19,SILVER,GOLD,7236939.81
26,CARD_88aaf84f,2023-10-21,MEMBERSHIP,GOLD,6279364.55
27,CARD_88aaf84f,2024-01-19,GOLD,SILVER,6511113.0
28,CARD_fee3e753,2023-10-18,MEMBERSHIP,SILVER,4626911.3
29,CARD_867f7ef3,2024-05-28,MEMBERSHIP,SILVER,2683190.16
30,CARD_e8397d3c,2024-11-27,MEMBERSHIP,SILVER,237913.44
31,CARD_0f78d433,2024-03-03,MEMBERSHIP,SILVER,6166539.78
32,CARD_0f78d433,2024-06-01,SILVER,GOLD,4446158.6
33,CARD_0f78d433,2024-11-28,GOLD,SILVER,1777690.91
34,CARD_c3064fc8,2023-11-09,MEMBERSHIP,SILVER,5244962.14
35,CARD_c3064fc8,2024-05-07,SILVER,GOLD,7123772.38
36,CARD_b5e195b3,2023-07-08,MEMBERSHIP,SILVER,4286347.85
37,CARD_b5e195b3,2023-10-06,SILVER,GOLD,2836164.73
38,CARD_444f7031,2024-06-30,MEMBERSHIP,SILVER,6810170.98
39,CARD_444f7031,2024-12-27,SILVER,GOLD,948229.5
40,CARD_d5e96c34,2024-05-16,MEMBERSHIP,SILVER,2295245.66
41,CARD_a1ed4057,2024-09-24,MEMBERSHIP,SILVER,3704205.62
42,CARD_a1ed4057,2024-12-23,SILVER,GOLD,3891560.97
43,CARD_b4b3249a,2023-12-01,MEMBERSHIP,SILVER,2588406.89
44,CARD_a7d24d1b,2023-04-07,MEMBERSHIP,SILVER,8203744.53
45,CARD_a7d24d1b,2023-07-06,SILVER,GOLD,3432960.66
46,CARD_ffa79592,2024-07-13,MEMBERSHIP,SILVER,7946337.1
47,CARD_d73d2205,2024-03-04,MEMBERSHIP,SILVER,1275996.09
48,CARD_d73d2205,2024-06-02,SILVER,GOLD,5264621.65
49,CARD_28dabcf1,2024-12-30,MEMBERSHIP,SILVER,797168.63
50,CARD_0fc7233c,2024-11-01,MEMBERSHIP,SILVER,5247703.37
51,CARD_0cffe76d,2023-10-26,MEMBERSHIP,SILVER,2174312.3
52,CARD_eb3f8b9a,2023-07-31,MEMBERSHIP,SILVER,5926035.19
53,CARD_eb3f8b9a,2023-10-29,SILVER,GOLD,2314285.29
54,CARD_a6dd23bb,2023-10-10,MEMBERSHIP,SILVER,5221766.37
55,CARD_a6dd23bb,2024-04-07,SILVER,GOLD,4394442.44
56,CARD_3b8c69c7,2023-11-03,MEMBERSHIP,SILVER,5871060.1
57,CARD_3b8c69c7,2024-05-01,SILVER,GOLD,6062630.2
58,CARD_0bb3321e,2024-08-08,MEMBERSHIP,SILVER,4789958.29
59,CARD_0bb3321e,2024-11-06,SILVER,GOLD,4585650.79
60,CARD_44cd95e3,2024-10-30,MEMBERSHIP,SILVER,1234858.58
61,CARD_fa1080d0,2023-10-07,MEMBERSHIP,SILVER,4769003.16
62,CARD_fa1080d0,2024-01-05,SILVER,GOLD,2430384.58
63,CARD_3cd906f9,2024-02-14,MEMBERSHIP,SILVER,2591554.83
64,CARD_5f404f75,2024-06-20,MEMBERSHIP,SILVER,5841909.53
65,CARD_5f404f75,2024-12-17,SILVER,GOLD,2150782.35
66,CARD_68e38f9f,2023-09-07,MEMBERSHIP,SILVER,3164028.09
67,CARD_94b589e5,2024-11-22,MEMBERSHIP,SILVER,7161257.38
68,CARD_8950a18f,2023-09-20,MEMBERSHIP,SILVER,3519811.57
69,CARD_7733de4f,2024-07-22,MEMBERSHIP,SILVER,3336841.22
70,CARD_7733de4f,2024-10-20,SILVER,GOLD,6764698.23
71,CARD_d1ac8fcd,2023-06-13,MEMBERSHIP,SILVER,2398671.53
72,CARD_fa0efc8e,2023-04-21,MEMBERSHIP,SILVER,5438801.72
73,CARD_7601256b,2024-08-08,MEMBERSHIP,SILVER,5198573.2
74,CARD_58ba16da,2023-12-10,MEMBERSHIP,SILVER,2934172.34
75,CARD_58ba16da,2024-03-09,SILVER,GOLD,5579814.99
76,CARD_58ba16da,2024-06-07,GOLD,SILVER,2266039.09
77,CARD_b1d907c3,2023-12-06,MEMBERSHIP,SILVER,3454821.26
78,CARD_d265f569,2024-05-31,MEMBERSHIP,SILVER,6725000.24
79,CARD_d265f569,2024-08-29,SILVER,GOLD,3887490.67
80,CARD_dae7aeca,2023-04-01,MEMBERSHIP,SILVER,6532961.61
81,CARD_dae7aeca,2023-09-28,SILVER,GOLD,1315150.97
82,CARD_925a1b1c,2023-10-15,MEMBERSHIP,SILVER,3818564.89
83,CARD_925a1b1c,2024-04-12,SILVER,GOLD,5470654.81
84,CARD_1589e13d,2025-01-02,MEMBERSHIP,SILVER,2139090.06
85,CARD_25b04d36,2024-11-06,MEMBERSHIP,SILVER,2828721.59
86,CARD_a350c03d,2024-07-25,MEMBERSHIP,SILVER,1352716.76
87,CARD_4c71e6c5,2023-01-23,MEMBERSHIP,SILVER,7888517.34
88,CARD_4c71e6c5,2023-04-23,SILVER,GOLD,3318744.08
89,CARD_4c71e6c5,2023-10-20,GOLD,SILVER,5174658.37
90,CARD_2792bba8,2024-11-05,MEMBERSHIP,SILVER,4536586.78
91,CARD_170bce99,2024-03-30,MEMBERSHIP,SILVER,5872390.7
92,CARD_170bce99,2024-09-26,SILVER,GOLD,3319210.54
93,CARD_e54604cb,2023-12-28,MEMBERSHIP,SILVER,8804186.15
94,CARD_e54604cb,2024-06-25,SILVER,GOLD,9418420.17
95,CARD_4e87b46a,2024-08-19,MEMBERSHIP,SILVER,5817557.22
96,CARD_4e87b46a,2024-11-17,SILVER,GOLD,4191681.84
