RegionID,RegionName
1,Đông Quận 155
2,Miền Bắc Khu vực 921
3,Đông Nam Khu 741
4,Tây Phía 675
5,Đông Phía 22
6,Đông Khu vực 332
7,Miền Trung Địa phận 910
8,Miền Bắc Quận 540
9,Tây Nam Huyện 150
10,Tây Nam Phường 128
11,Miền Trung Địa phận 932
12,Miền Trung Vùng 788
13,Miền Bắc Phường 598
14,Đông Bắc Khu vực 498
15,Bắc Xã 137
16,Đông Bắc Khu vực 916
17,Đông Bắc Thành phố 294
18,Tây Nam Phường 111
19,Tây Huyện 130
20,Đông Địa phận 762
21,Miền Bắc Khu 387
22,Tây Bắc Phía 816
23,Tây Nam Phía 876
24,Trung Tâm Thành phố 187
25,Nam Huyện 437
26,Tây Bắc Thành phố 889
27,Tây Nam Quận 509
28,Miền Nam Khu 293
29,Tây Bắc Phía 686
30,Nam Phường 554
31,Tây Bắc Địa phận 97
32,Miền Bắc Thành phố 900
33,Miền Nam Khu vực 433
34,Miền Bắc Phía 644
35,Tây Phía 355
36,Miền Bắc Phường 212
37,Miền Bắc Phía 442
38,Đông Nam Xã 575
39,Miền Nam Khu 11
40,Bắc Vùng 784
41,Miền Bắc Xã 709
42,Miền Trung Phía 102
43,Đông Quận 351
44,Đông Bắc Huyện 855
45,Miền Trung Quận 272
46,Đông Bắc Phường 530
47,Đông Nam Quận 663
48,Miền Nam Địa phận 418
49,Đông Huyện 379
50,Đông Nam Phường 463
51,Tây Địa phận 869
52,Đông Huyện 338
53,Tây Nam Khu vực 550
54,Tây Nam Xã 199
55,Miền Bắc Vùng 544
56,Miền Nam Xã 428
57,Miền Bắc Huyện 493
58,Trung Tâm Khu 729
59,Đông Địa phận 367
60,Đông Bắc Phía 938
61,Miền Trung Địa phận 507
62,Đông Nam Khu 765
63,Trung Tâm Huyện 336
64,Tây Bắc Quận 960
65,Đông Vùng 524
66,Tây Bắc Phường 50
67,Miền Trung Khu 298
68,Đông Bắc Khu 614
69,Nam Xã 843
70,Tây Nam Quận 292
71,Đông Phía 513
72,Đông Bắc Vùng 373
73,Miền Trung Phía 625
74,Tây Bắc Thành phố 645
75,Miền Bắc Xã 178
76,Đông Nam Quận 939
77,Tây Nam Quận 986
78,Nam Huyện 618
79,Đông Khu 154
80,Đông Quận 231
81,Đông Huyện 442
82,Tây Bắc Phường 174
83,Bắc Khu 296
84,Miền Trung Phường 754
85,Đông Bắc Vùng 141
86,Tây Nam Khu vực 684
87,Miền Bắc Khu vực 331
88,Tây Bắc Huyện 131
89,Bắc Huyện 541
90,Bắc Khu vực 652
91,Miền Nam Địa phận 148
92,Tây Bắc Vùng 498
93,Tây Thành phố 288
94,Đông Nam Thành phố 923
95,Trung Tâm Huyện 470
96,Đông Nam Khu 899
97,Miền Trung Phía 213
98,Trung Tâm Địa phận 561
99,Đông Bắc Vùng 745
100,Miền Bắc Vùng 128
101,Đông Nam Khu 453
102,Miền Bắc Khu 209
103,Tây Huyện 9
104,Miền Trung Quận 62
105,Bắc Xã 434
106,Tây Nam Khu 550
107,Miền Trung Địa phận 892
108,Đông Vùng 196
109,Miền Bắc Huyện 869
110,Tây Nam Xã 3
111,Nam Xã 857
112,Miền Trung Khu vực 617
113,Đông Thành phố 108
114,Tây Bắc Khu vực 484
115,Miền Bắc Khu vực 690
116,Đông Bắc Khu 869
117,Đông Vùng 266
118,Tây Nam Thành phố 432
119,Miền Nam Xã 596
120,Miền Bắc Khu 840
121,Tây Nam Thành phố 453
122,Bắc Phía 982
123,Tây Nam Khu vực 493
124,Đông Bắc Thành phố 206
125,Tây Nam Phía 868
126,Nam Phường 409
127,Đông Quận 147
128,Bắc Xã 618
129,Miền Trung Khu 31
130,Miền Bắc Khu 26
131,Miền Trung Khu vực 133
132,Đông Nam Vùng 958
133,Miền Bắc Quận 668
134,Nam Vùng 831
135,Bắc Phường 911
136,Đông Địa phận 411
137,Trung Tâm Thành phố 920
138,Trung Tâm Quận 146
139,Nam Thành phố 154
140,Miền Nam Huyện 716
141,Nam Huyện 879
142,Nam Khu 361
143,Miền Nam Khu vực 577
144,Miền Nam Quận 916
145,Tây Nam Xã 109
146,Miền Trung Địa phận 712
147,Miền Bắc Khu 790
148,Miền Nam Thành phố 93
149,Tây Nam Khu vực 248
150,Miền Nam Quận 359
151,Miền Trung Địa phận 5
152,Bắc Phía 32
153,Miền Nam Khu vực 740
154,Bắc Khu 307
155,Nam Phường 130
156,Bắc Phường 540
157,Đông Bắc Phường 820
158,Tây Bắc Phường 651
159,Tây Địa phận 840
160,Tây Bắc Địa phận 795
161,Nam Địa phận 731
162,Nam Quận 453
163,Tây Nam Huyện 333
164,Miền Nam Quận 289
165,Miền Bắc Khu 546
166,Tây Huyện 880
167,Đông Bắc Quận 106
168,Bắc Khu vực 444
169,Đông Bắc Quận 214
170,Tây Khu 291
171,Đông Nam Thành phố 985
172,Trung Tâm Khu vực 247
173,Tây Bắc Thành phố 124
174,Đông Quận 948
175,Tây Huyện 291
176,Tây Nam Khu 290
177,Nam Huyện 101
178,Tây Địa phận 904
179,Nam Khu vực 800
180,Miền Bắc Huyện 618
181,Đông Thành phố 990
182,Nam Thành phố 268
183,Bắc Quận 528
184,Nam Khu 946
185,Bắc Khu 484
186,Miền Bắc Khu 300
187,Tây Bắc Phía 949
188,Tây Nam Vùng 262
189,Tây Bắc Thành phố 553
190,Đông Bắc Thành phố 361
191,Trung Tâm Huyện 152
192,Bắc Vùng 878
193,Tây Huyện 898
194,Trung Tâm Phường 80
195,Bắc Khu vực 674
196,Miền Trung Khu vực 800
197,Bắc Phía 669
198,Tây Khu 263
199,Miền Nam Xã 510
200,Tây Phường 694
201,Miền Trung Thành phố 454
202,Nam Huyện 191
203,Miền Bắc Phía 242
204,Miền Trung Khu vực 850
205,Trung Tâm Khu 657
206,Đông Nam Huyện 998
207,Miền Trung Địa phận 502
208,Bắc Khu vực 639
209,Trung Tâm Phía 851
210,Nam Phía 111
211,Nam Khu vực 874
212,Đông Bắc Xã 279
213,Tây Nam Khu 11
214,Tây Vùng 670
215,Trung Tâm Phía 135
216,Trung Tâm Xã 711
217,Bắc Phía 361
218,Miền Nam Quận 138
219,Miền Bắc Phía 527
220,Tây Phường 121
221,Miền Nam Xã 265
222,Miền Nam Phường 861
223,Miền Bắc Phường 997
224,Miền Trung Vùng 587
225,Miền Trung Phía 737
226,Miền Bắc Phường 227
227,Miền Nam Vùng 514
228,Tây Bắc Huyện 878
229,Tây Bắc Thành phố 812
230,Tây Vùng 927
231,Miền Trung Huyện 270
232,Tây Bắc Thành phố 586
233,Đông Nam Phường 624
234,Đông Phía 844
235,Tây Bắc Phía 316
236,Nam Phía 719
237,Miền Bắc Phía 21
